patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US3000030A,1958-06-13,Brush,['PROPN'],[],1,0,2
US3000296A,1959-08-10,Baler,['PROPN'],[],1,0,2
US3000314A,1946-03-19,Fuze,['PROPN'],[],1,0,2
US3000316A,1944-07-10,Projectile,['PROPN'],[],1,0,2
US3000394A,1957-09-20,Governor,['PROPN'],[],1,0,2
US3000416A,1961-09-19,lindegren,['PROPN'],[],1,0,2
US3000465A,1960-01-15,Muffler,['PROPN'],['NORP'],1,0,2
US3000732A,1953-08-31,Hydrofuel,['PROPN'],[],1,0,2
US3000920A,1955-06-09,Nitrazaisocyanates,['PROPN'],[],1,0,2
US3001701A,1961-09-26,Frobel,['PROPN'],[],1,0,1
US3001702A,1961-09-26,dustin,['PROPN'],[],1,0,1
US3001803A,1956-05-07,Wellhead,['PROPN'],[],1,0,2
US3002161A,1957-04-10,Transmitter,['PROPN'],[],1,0,2
US3002318A,1960-03-21,Toy,['PROPN'],[],1,0,2
US3002712A,1957-02-01,Polycopter,['PROPN'],[],1,0,2
US3002856A,1958-10-22,Mirror,['PROPN'],[],1,0,2
US3003215A,1956-09-17,Fastener,['PROPN'],[],1,0,2
US3003263A,1961-03-23,Ditcher,['PROPN'],[],1,0,2
US3003305A,1958-07-10,Clock,['PROPN'],[],1,0,2
US3003385A,1959-04-06,Baton,['PROPN'],[],1,0,2
US3003586A,1958-08-28,Vehicle,['PROPN'],[],1,0,2
US3003654A,1961-10-10,Pelto,['PROPN'],[],1,0,1
US3003688A,1961-10-10,Menge,['PROPN'],[],1,0,1
US3003705A,1959-01-20,Aerator,['PROPN'],[],1,0,2
US3003715A,1959-02-12,Spool,['PROPN'],['ORG'],1,0,2
US3003751A,1958-04-21,Blender,['PROPN'],[],1,0,2
US3004365A,1959-11-18,Toy,['PROPN'],[],1,0,2
US3004464A,1955-06-21,Stereoplotter,['PROPN'],[],1,0,2
US3004615A,1958-02-21,Underreamer,['PROPN'],[],1,0,2
US3004616A,1956-09-27,Jar,['PROPN'],[],1,0,2
