patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,is_inventor
US2211608A,1940-08-13,Polychiloropbene electrical,"['ADJ', 'ADJ']",['PERSON'],0,1,2,"['polychiloropbene', 'electrical']",1
US2213210A,1940-09-03,egbert,['PROPN'],['PERSON'],1,1,1,['egbert'],1
US2218929A,1936-03-12,Deviometer,['PROPN'],['PERSON'],1,1,2,['deviometer'],1
US2219267A,1937-07-31,Deviometer,['PROPN'],['PERSON'],1,1,2,['deviometer'],1
US2239277A,1941-04-22,thomas,['PROPN'],['PERSON'],1,1,1,['thomas'],1
US2239885A,1941-04-29,errett,['VERB'],['PERSON'],0,1,1,['errett'],1
US2239934A,1941-04-29,Fishijne sinker,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['fishijne', 'sinker']",1
US2241356A,1940-07-06,Thermoinhaler,['PROPN'],['PERSON'],1,1,2,['thermoinhaler'],1
US2242253A,1938-01-13,Deviometer,['PROPN'],['PERSON'],1,1,2,['deviometer'],1
US2253298A,1941-08-19,Ooooo,['PROPN'],['PERSON'],1,1,1,['ooooo'],1
US2255544A,1941-09-09,gustavson,['NOUN'],['PERSON'],0,1,1,['gustavson'],1
US2259155A,1939-01-03,Fireworks,['NOUN'],['PERSON'],0,1,2,['fireworks'],1
US2259742A,1941-10-21,edison,['VERB'],['PERSON'],0,1,2,['edison'],1
US2271471A,1942-01-27,anderson,['PROPN'],['PERSON'],1,1,1,['anderson'],1
US2272163A,1942-02-03,Office-,['NOUN'],['PERSON'],0,1,1,['office-'],1
US2288871A,1942-07-07,Translucentscope,['PROPN'],['PERSON'],1,1,1,['translucentscope'],1
US2293926A,1942-08-25,Wallace,['PROPN'],['PERSON'],1,1,1,['wallace'],1
