patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US2600035A,1950-03-15,"Hydrometer 
       ","['PROPN', 'SPACE']",[],1,0,2
US2600077A,1948-10-05,"Thiosemicarbazones 
       ","['PROPN', 'SPACE']",[],1,0,2
US2600081A,1951-12-04,"Clock 
       ","['PROPN', 'SPACE']",[],1,0,2
US2600146A,1947-10-02,"Envelope 
       ","['PROPN', 'SPACE']",[],1,0,2
US2600154A,1950-05-01,"Antioxidant 
       ","['PROPN', 'SPACE']",[],1,0,2
US2600274A,1945-10-10,"Antenna 
       ","['PROPN', 'SPACE']",[],1,0,2
US2600334A,1948-01-20,"Snubber 
       ","['PROPN', 'SPACE']",[],1,0,2
US2600554A,1949-09-16,"Sprinkler 
       ","['PROPN', 'SPACE']",[],1,0,2
US2600572A,1949-09-06,"Trampoline 
       ","['PROPN', 'SPACE']",[],1,0,2
US2600752A,1948-11-22,"Aerator 
       ","['PROPN', 'SPACE']",[],1,0,2
US2600753A,1950-06-28,"Andiron 
       ","['PROPN', 'SPACE']",['GPE'],1,0,2
US2600760A,1948-12-30,"Rotisserie 
       ","['PROPN', 'SPACE']",[],1,0,2
US2600814A,1949-12-24,"Scarf 
       ","['PROPN', 'SPACE']",[],1,0,2
US2601069A,1951-03-01,"Dustpan 
       ","['PROPN', 'SPACE']",['GPE'],1,0,2
US2601145A,1950-09-29,"Wallet 
       ","['PROPN', 'SPACE']",[],1,0,2
US2601344A,1949-09-10,"Piston 
       ","['PROPN', 'SPACE']",['GPE'],1,0,2
US2601361A,1952-06-24,Blatz ,['PROPN'],['GPE'],1,0,1
US2601435A,1950-01-13,"Hairpin 
       ","['PROPN', 'SPACE']",[],1,0,2
US2601530A,1947-10-23,"Envelope 
       ","['PROPN', 'SPACE']",[],1,0,2
US2601534A,1952-06-24,Distributor ,['PROPN'],[],1,0,1
US2601585A,1949-03-22,"Cableway 
       ","['PROPN', 'SPACE']",[],1,0,2
US2601981A,1951-06-19,"Snubber 
       ","['PROPN', 'SPACE']",[],1,0,2
US2602015A,1952-07-01,Merchandise cabinet ,"['PROPN', 'NOUN']",[],1,0,2
US2602138A,1948-11-06,"Antenna 
       ","['PROPN', 'SPACE']",[],1,0,2
US2602310A,1946-03-22,"Tray 
       ","['PROPN', 'SPACE']",[],1,0,2
US2602365A,1948-12-18,"Collar 
       ","['PROPN', 'SPACE']",[],1,0,2
US2602502A,1948-12-22,"Shutter 
       ","['PROPN', 'SPACE']",[],1,0,2
US2602619A,1946-08-21,"Pallet 
       ","['PROPN', 'SPACE']",[],1,0,2
US2602644A,1949-09-19,"Evaporator 
       ","['PROPN', 'SPACE']",[],1,0,2
US2602654A,1948-06-24,"Governor 
       ","['PROPN', 'SPACE']",[],1,0,2
US2602661A,1950-07-14,"Tuyere 
       ","['PROPN', 'SPACE']",[],1,0,2
US2602930A,1949-04-01,"Glove 
       ","['PROPN', 'SPACE']",[],1,0,2
US2602977A,1946-06-04,"Buckle 
       ","['PROPN', 'SPACE']",[],1,0,2
US2603036A,1945-12-29,"Cloche 
       ","['PROPN', 'SPACE']",[],1,0,2
US2603202A,1952-07-15,Magneto housing ,"['PROPN', 'NOUN']",[],1,0,2
US2603207A,1952-07-15,Muhlenkort ,['PROPN'],[],1,0,1
US2603217A,1952-07-15,mcshirley ,['PROPN'],['GPE'],1,0,1
US2603228A,1952-07-15,rustin ,['PROPN'],[],1,0,1
US2603244A,1952-07-15,Hrdina ,['PROPN'],[],1,0,1
US2603261A,1952-07-15,Hack saw ,"['PROPN', 'VERB']",[],1,0,2
US2603264A,1952-07-15,cautley ,['PROPN'],[],1,0,1
US2603280A,1952-07-15,Bernhard ,['PROPN'],[],1,0,1
US2603292A,1952-07-15,Anchor ,['PROPN'],['NORP'],1,0,1
US2603298A,1952-07-15,Apparatus ,['PROPN'],[],1,0,1
US2603313A,1952-07-15,Ijnitfd statf ,"['PROPN', 'VERB']",['ORG'],1,0,2
US2603316A,1952-07-15,Brake rotor ,"['PROPN', 'NOUN']",['ORG'],1,0,2
US2603320A,1952-07-15,Werther ,['PROPN'],[],1,0,1
US2603333A,1952-07-15,Appakatus ,['PROPN'],['ORG'],1,0,1
US2603337A,1947-09-18,Julljard ,['PROPN'],[],1,0,1
US2603371A,1952-07-15,hershey  ,"['PROPN', 'SPACE']",[],1,0,2
US2603390A,1952-07-15,Kaufman ,['PROPN'],['GPE'],1,0,1
US2603391A,1952-07-15,Kaufman ,['PROPN'],['GPE'],1,0,1
US2603606A,1952-07-15,Alkyl sulfates ,"['PROPN', 'VERB']",[],1,0,2
US2603687A,1949-09-22,"Magnetometer 
       ","['PROPN', 'SPACE']",[],1,0,2
US2603768A,1950-04-20,"Transductor 
       ","['PROPN', 'SPACE']",[],1,0,2
US2603810A,1947-04-26,"Mop 
       ","['PROPN', 'SPACE']",[],1,0,2
US2603847A,1951-02-02,"Buckle 
       ","['PROPN', 'SPACE']",[],1,0,2
US2604029A,1946-10-30,"Shutter 
       ","['PROPN', 'SPACE']",[],1,0,2
US2604104A,1950-03-15,"Toupee 
       ","['PROPN', 'SPACE']",[],1,0,2
US2604216A,1948-02-14,"Feeder 
       ","['PROPN', 'SPACE']",[],1,0,2
US2604218A,1947-06-05,"Feeder 
       ","['PROPN', 'SPACE']",[],1,0,2
US2604260A,1949-08-01,"Mailbox 
       ","['PROPN', 'SPACE']",['ORG'],1,0,2
US2604337A,1947-11-10,"Book 
       ","['PROPN', 'SPACE']",[],1,0,2
US2604439A,1952-07-22,Distillation of ,"['PROPN', 'ADP']",[],1,0,2
US2604610A,1940-12-17,"Magnetron 
       ","['PROPN', 'SPACE']",['ORG'],1,0,2
US2604634A,1948-11-26,"Bedpan 
       ","['PROPN', 'SPACE']",[],1,0,2
US2604682A,1947-10-03,"Buckle 
       ","['PROPN', 'SPACE']",[],1,0,2
US2604731A,1952-07-29,meucci ,['PROPN'],[],1,0,1
US2604748A,1947-11-26,"Mower 
       ","['PROPN', 'SPACE']",[],1,0,2
US2604796A,1950-09-08,"Interlock 
       ","['PROPN', 'SPACE']",[],1,0,2
US2604898A,1947-09-08,"Umbrella 
       ","['PROPN', 'SPACE']",['ORG'],1,0,2
US2604917A,1949-01-29,"Handbag 
       ","['PROPN', 'SPACE']",['NORP'],1,0,2
US2604946A,1947-08-11,"Packer 
       ","['PROPN', 'SPACE']",[],1,0,2
US2605019A,1949-12-02,"Sprayer 
       ","['PROPN', 'SPACE']",[],1,0,2
US2605059A,1949-08-31,"Bobbin 
       ","['PROPN', 'SPACE']",[],1,0,2
US2605139A,1947-09-15,"Atomizer 
       ","['PROPN', 'SPACE']",['PRODUCT'],1,0,2
US2605445A,1947-05-08,"Magnetron 
       ","['PROPN', 'SPACE']",['ORG'],1,0,2
US2605671A,1948-02-28,"Spectrophotometer 
       ","['PROPN', 'SPACE']",[],1,0,2
US2605773A,1950-12-08,"Comb 
       ","['PROPN', 'SPACE']",[],1,0,2
US2605833A,1951-01-25,"Timer 
       ","['PROPN', 'SPACE']",[],1,0,2
US2605906A,1949-01-04,"Hanger 
       ","['PROPN', 'SPACE']",[],1,0,2
US2605929A,1949-04-12,"Tray 
       ","['PROPN', 'SPACE']",[],1,0,2
