patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,is_inventor
US3900402A,1973-01-19,Hemodialyzer,['PROPN'],['PERSON'],1,1,2,['hemodialyzer'],1
US3917393A,1973-09-21,Varioslit,['ADV'],['PERSON'],0,1,2,['varioslit'],1
US3922912A,1973-02-27,Anemometers,['NOUN'],['PERSON'],0,1,2,['anemometers'],1
US3935235A,1973-04-11,Lactones,['NOUN'],['PERSON'],0,1,2,['lactones'],1
US3939196A,1974-02-20,Diarylcyclobutanes,['NOUN'],['PERSON'],0,1,2,['diarylcyclobutanes'],1
US3940424A,1973-12-19,Lactones,['NOUN'],['PERSON'],0,1,2,['lactones'],1
US3941082A,1974-05-16,Handbell,['PROPN'],['PERSON'],1,1,2,['handbell'],1
US3944572A,1973-04-11,Lactones,['NOUN'],['PERSON'],0,1,2,['lactones'],1
US3958679A,1974-11-04,Decoupler,['VERB'],['PERSON'],0,1,2,['decoupler'],1
US3965116A,1974-09-12,Multioxymacrocycles,['NOUN'],['PERSON'],0,1,2,['multioxymacrocycles'],1
US3987310A,1975-06-19,Schottky diode,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['schottky', 'diode']",1
US3987946A,1973-07-16,Wardrobes,['PROPN'],['PERSON'],1,1,2,['wardrobes'],1
US3990455A,1975-04-21,Teether,['NOUN'],['PERSON'],0,1,2,['teether'],1
US3996868A,1974-05-14,Windsurfer,['VERB'],['PERSON'],0,1,2,['windsurfer'],1
