patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,is_inventor
US400011A,1889-03-19,Thomas b,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['thomas', 'b']",1
US400013A,1889-03-19,Henry steinberg,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['henry', 'steinberg']",1
US400023A,1889-03-19,Adolph weckmiller,"['ADJ', 'NOUN']",['PERSON'],0,1,2,"['adolph', 'weckmiller']",1
US400056A,1889-03-26,Thomas christy,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'christy']",1
US400075A,1889-03-26,William goulden,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'goulden']",1
US400084A,1889-03-26,Henry herbert,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['henry', 'herbert']",1
US400086A,1889-03-26,Oskar iiinsberg,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['oskar', 'iiinsberg']",1
US400087A,1889-03-26,Samuel jones,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['samuel', 'jones']",1
US400094A,1889-03-26,Alexander h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['alexander', 'h']",1
US400103A,1889-03-26,Melotte,['PROPN'],['PERSON'],1,1,1,['melotte'],1
US400110A,1889-03-26,Joshua norton,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['joshua', 'norton']",1
US400123A,1889-03-26,Jean schoenner,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['jean', 'schoenner']",1
US400124A,1889-03-26,William m,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['william', 'm']",1
US400127A,1889-03-26,William shelly,"['PROPN', 'ADV']",['PERSON'],1,1,2,"['william', 'shelly']",1
US400132A,1889-03-26,Thomas w,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['thomas', 'w']",1
US400153A,1889-03-26,williams,['PROPN'],['PERSON'],1,1,1,['williams'],1
US400179A,1889-03-26,Edward m,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['edward', 'm']",1
US400180A,1889-03-26,Edward m,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['edward', 'm']",1
US400183A,1889-03-26,Chaie,['PROPN'],['PERSON'],1,1,1,['chaie'],1
US400208A,1889-03-26,William harper,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'harper']",1
US400215A,1889-03-26,Peters,['PROPN'],['PERSON'],1,1,1,['peters'],1
US400231A,1889-03-26,Paul w,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['paul', 'w']",1
US400236A,1889-03-26,John j,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'j']",1
US400237A,1889-03-26,Louise martane,"['NOUN', 'NOUN']",['PERSON'],0,1,2,"['louise', 'martane']",1
US400258A,1889-03-26,Joseph shackleton,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['joseph', 'shackleton']",1
US400275A,1889-03-26,William vogel,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'vogel']",1
US400296A,1889-03-26,George f,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['george', 'f']",1
US400317A,1889-03-26,Thomas a,"['PROPN', 'PRON']",['PERSON'],1,1,2,"['thomas', 'a']",1
US400333A,1889-03-26,Robert haberthur,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['robert', 'haberthur']",1
US400341A,1889-03-26,Adolph g,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['adolph', 'g']",1
