patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US176965A,1876-05-02,Benjamin kuhns and charles scholz ,"['Benjamin', 'kuhns', 'and', 'charles', 'scholz']","[('Benjamin', 'NNP'), ('kuhns', 'NN'), ('and', 'CC'), ('charles', 'NNS'), ('scholz', 'VBP')]",1,"['PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN']","['PERSON', 'PERSON']",1,1,5
US176986A,1876-05-02,Thomas o hagan ,"['Thomas', 'o', 'hagan']","[('Thomas', 'NNP'), ('o', 'PRP'), ('hagan', 'VBD')]",1,"['PROPN', 'NOUN', 'NOUN']",['PERSON'],1,1,3
US177024A,1876-05-02,smith ,['smith'],"[('smith', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US177490A,1876-05-16,Civilioh fqnbs and william j ,"['Civilioh', 'fqnbs', 'and', 'william', 'j']","[('Civilioh', 'NNP'), ('fqnbs', 'NN'), ('and', 'CC'), ('william', 'NN'), ('j', 'NN')]",1,"['PROPN', 'NOUN', 'CCONJ', 'PROPN', 'PROPN']","['PERSON', 'PERSON']",1,1,5
US177784A,1876-05-23,John h ,"['John', 'h']","[('John', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US177832A,1876-05-23,John b ,"['John', 'b']","[('John', 'NNP'), ('b', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US177982A,1876-05-30,James s ,"['James', 's']","[('James', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US178209A,1876-05-30,van haagen ,"['van', 'haagen']","[('van', 'NN'), ('haagen', 'NN')]",0,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US178232A,1876-06-06,campbell ,['campbell'],"[('campbell', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US178507A,1876-06-13,William t ,"['William', 't']","[('William', 'NNP'), ('t', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US178564A,1876-06-13,Feedeeick h ,"['Feedeeick', 'h']","[('Feedeeick', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US178600A,1876-06-13,Joseph f ,"['Joseph', 'f']","[('Joseph', 'NNP'), ('f', 'NN')]",1,"['PROPN', 'X']",['PERSON'],1,1,2
US178698A,1876-06-13,Stephen w ,"['Stephen', 'w']","[('Stephen', 'NNP'), ('w', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US178706A,1876-06-13,James e ,"['James', 'e']","[('James', 'NNP'), ('e', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US178798A,1876-06-13,Benjamin h ,"['Benjamin', 'h']","[('Benjamin', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US178908A,1876-06-20,Chaelbs h ,"['Chaelbs', 'h']","[('Chaelbs', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US179016A,1876-06-20,Andeew s ,"['Andeew', 's']","[('Andeew', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'PART']",['PERSON'],1,1,2
US179440A,1876-07-04,Charles j ,"['Charles', 'j']","[('Charles', 'NNP'), ('j', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US179695A,1876-07-11,John feeaesqn ,"['John', 'feeaesqn']","[('John', 'NNP'), ('feeaesqn', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US180001A,1876-07-18,Esek bussey ,"['Esek', 'bussey']","[('Esek', 'NNP'), ('bussey', 'NN')]",1,"['NOUN', 'NOUN']",['PERSON'],0,1,2
US180475A,1876-08-01,Herbert harbison ,"['Herbert', 'harbison']","[('Herbert', 'NNP'), ('harbison', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US180539A,1876-08-01,William buchanan ,"['William', 'buchanan']","[('William', 'NNP'), ('buchanan', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
