patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US124327A,1872-03-05,Field ,['Field'],"[('Field', 'NN')]",0,['NOUN'],[],0,0,1,0
US124726A,1872-03-19,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US124753A,1872-03-19,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US124898A,1872-03-26,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US124901A,1872-03-26,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US125073A,1872-03-26,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US125141A,1872-04-02,milleb ,['milleb'],"[('milleb', 'NN')]",0,['NOUN'],[],0,0,1,0
US125307A,1872-04-02,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US125629A,1872-04-09,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US125676A,1872-04-16,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US125854A,1872-04-16,stein ,['stein'],"[('stein', 'NN')]",0,['VERB'],[],0,0,1,0
US125981A,1872-04-23,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US126152A,1872-04-30,mills ,['mills'],"[('mills', 'NNS')]",0,['NOUN'],[],0,0,1,0
US126405A,1872-05-07,Liles ,['Liles'],"[('Liles', 'NNS')]",0,['NOUN'],[],0,0,1,0
US126552A,1872-05-07,Toeby ,['Toeby'],"[('Toeby', 'NN')]",0,['ADV'],[],0,0,1,0
US126645A,1872-05-14,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US126698A,1872-05-14,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US126717A,1872-05-14,kosinskl ,['kosinskl'],"[('kosinskl', 'NN')]",0,['NOUN'],['ORG'],0,0,1,0
US126829A,1872-05-14,Island ,['Island'],"[('Island', 'NN')]",0,['NOUN'],[],0,0,1,0
US126977A,1872-05-21,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US127384A,1872-05-28,steinway ,['steinway'],"[('steinway', 'NN')]",0,['INTJ'],[],0,0,1,0
US127492A,1872-06-04,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US127511A,1872-06-04,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US127566A,1872-06-04,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US127591A,1872-06-04,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US128134A,1872-06-18,Field ,['Field'],"[('Field', 'NN')]",0,['NOUN'],[],0,0,1,0
US128363A,1872-06-25,cleniinshaw ,['cleniinshaw'],"[('cleniinshaw', 'NN')]",0,['ADJ'],[],0,0,1,0
US128383A,1872-06-25,foster ,['foster'],"[('foster', 'NN')]",0,['ADJ'],[],0,0,1,0
US128585A,1872-07-02,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US128727A,1872-07-09,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US128916A,1872-07-09,shaffner ,['shaffner'],"[('shaffner', 'NN')]",0,['NOUN'],[],0,0,1,0
US129499A,1872-07-16,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US129785A,1872-07-23,Field ,['Field'],"[('Field', 'NN')]",0,['NOUN'],[],0,0,1,0
