patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US63362A,1867-04-02,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US63602A,1867-04-02,Of honeoye falls ,"['Of', 'honeoye', 'falls']","[('Of', 'IN'), ('honeoye', 'NN'), ('falls', 'NNS')]",0,"['ADP', 'NOUN', 'VERB']",[],0,0,3,0,1
US63618A,1867-04-09,To all whom it mat concern ,"['To', 'all', 'whom', 'it', 'mat', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('mat', 'VBZ'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'NOUN', 'NOUN']",[],0,0,6,0,1
US63678A,1867-04-09,And christopher cory ,"['And', 'christopher', 'cory']","[('And', 'CC'), ('christopher', 'PRP'), ('cory', 'NN')]",0,"['CCONJ', 'NOUN', 'NOUN']",[],0,0,3,0,1
US63797A,1867-04-16,of watkins ,"['of', 'watkins']","[('of', 'IN'), ('watkins', 'NNS')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US63832A,1867-04-16,And pulping fibeous mateeial ,"['And', 'pulping', 'fibeous', 'mateeial']","[('And', 'CC'), ('pulping', 'VBG'), ('fibeous', 'JJ'), ('mateeial', 'NN')]",0,"['CCONJ', 'VERB', 'ADJ', 'NOUN']",[],0,0,4,0,1
US63873A,1867-04-16,To all whom it mai conoeen ,"['To', 'all', 'whom', 'it', 'mai', 'conoeen']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('mai', 'VBD'), ('conoeen', 'JJ')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'VERB', 'VERB']",[],0,0,6,0,1
US63898A,1867-04-16,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US64013A,1867-04-23,of north brookfield ,"['of', 'north', 'brookfield']","[('of', 'IN'), ('north', 'JJ'), ('brookfield', 'NN')]",0,"['ADP', 'NOUN', 'NOUN']",[],0,0,3,0,1
US64129A,1867-04-23,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
