patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US112606A,1871-03-14,Improvement in processes of refining and whitening the products from sulphurets of ,"['Improvement', 'in', 'processes', 'of', 'refining', 'and', 'whitening', 'the', 'products', 'from', 'sulphurets', 'of']","[('Improvement', 'NN'), ('in', 'IN'), ('processes', 'NNS'), ('of', 'IN'), ('refining', 'NN'), ('and', 'CC'), ('whitening', 'VBG'), ('the', 'DT'), ('products', 'NNS'), ('from', 'IN'), ('sulphurets', 'NNS'), ('of', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP', 'VERB', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,12,1
US114400A,1871-05-02,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US114866A,1871-05-16,Improvement in modes of ,"['Improvement', 'in', 'modes', 'of']","[('Improvement', 'NN'), ('in', 'IN'), ('modes', 'NNS'), ('of', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,4,1
US115392A,1871-05-30,Chaeles w ,"['Chaeles', 'w']","[('Chaeles', 'NNS'), ('w', 'VBP')]",0,"['VERB', 'ADP']",[],0,0,2,1
US115705A,1871-06-06,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US115789A,1871-06-06,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US115944A,1871-06-13,Improvement in devices for ,"['Improvement', 'in', 'devices', 'for']","[('Improvement', 'NN'), ('in', 'IN'), ('devices', 'NNS'), ('for', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,4,1
US116053A,1871-06-20,Improvement in apparatus for cooling and discharging beer and other liquids on ,"['Improvement', 'in', 'apparatus', 'for', 'cooling', 'and', 'discharging', 'beer', 'and', 'other', 'liquids', 'on']","[('Improvement', 'NN'), ('in', 'IN'), ('apparatus', 'NN'), ('for', 'IN'), ('cooling', 'VBG'), ('and', 'CC'), ('discharging', 'VBG'), ('beer', 'NN'), ('and', 'CC'), ('other', 'JJ'), ('liquids', 'NNS'), ('on', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'ADP']",[],0,0,12,1
US116943A,1871-07-11,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US117998A,1871-08-15,Improvement in methods and apparatus for separating certain hydrocarbon vapors from ,"['Improvement', 'in', 'methods', 'and', 'apparatus', 'for', 'separating', 'certain', 'hydrocarbon', 'vapors', 'from']","[('Improvement', 'NN'), ('in', 'IN'), ('methods', 'NNS'), ('and', 'CC'), ('apparatus', 'NN'), ('for', 'IN'), ('separating', 'VBG'), ('certain', 'JJ'), ('hydrocarbon', 'NN'), ('vapors', 'NNS'), ('from', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADP']",[],0,0,11,1
US118041A,1871-08-15,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US118812A,1871-09-12,Improvement in medical compounds or ,"['Improvement', 'in', 'medical', 'compounds', 'or']","[('Improvement', 'NN'), ('in', 'IN'), ('medical', 'JJ'), ('compounds', 'NNS'), ('or', 'CC')]",0,"['NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ']",[],0,0,5,1
US119301A,1871-09-26,Improvement in medical compounds for ,"['Improvement', 'in', 'medical', 'compounds', 'for']","[('Improvement', 'NN'), ('in', 'IN'), ('medical', 'JJ'), ('compounds', 'NNS'), ('for', 'IN')]",0,"['NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP']",[],0,0,5,1
US119857A,1871-10-10,Improvement in trucks for ,"['Improvement', 'in', 'trucks', 'for']","[('Improvement', 'NN'), ('in', 'IN'), ('trucks', 'NNS'), ('for', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,4,1
US120817A,1871-11-14,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US120857A,1871-11-14,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US121118A,1871-11-21,Improvement in cements and in ,"['Improvement', 'in', 'cements', 'and', 'in']","[('Improvement', 'NN'), ('in', 'IN'), ('cements', 'NNS'), ('and', 'CC'), ('in', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP']",[],0,0,5,1
US121475A,1871-12-05,Improvement in the mode of ,"['Improvement', 'in', 'the', 'mode', 'of']","[('Improvement', 'NN'), ('in', 'IN'), ('the', 'DT'), ('mode', 'NN'), ('of', 'IN')]",0,"['NOUN', 'ADP', 'DET', 'NOUN', 'ADP']",[],0,0,5,1
US122052A,1871-12-19,Improvement in plant for ,"['Improvement', 'in', 'plant', 'for']","[('Improvement', 'NN'), ('in', 'IN'), ('plant', 'NN'), ('for', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,4,1
US122379A,1872-01-02,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US122399A,1872-01-02,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US122553A,1872-01-09,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US122878A,1872-01-23,Improvement in apparatus for expressing the juice from ,"['Improvement', 'in', 'apparatus', 'for', 'expressing', 'the', 'juice', 'from']","[('Improvement', 'NN'), ('in', 'IN'), ('apparatus', 'NN'), ('for', 'IN'), ('expressing', 'VBG'), ('the', 'DT'), ('juice', 'NN'), ('from', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP']",[],0,0,8,1
US122938A,1872-01-23,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US123511A,1872-02-06,Geoege w ,"['Geoege', 'w']","[('Geoege', 'NNP'), ('w', 'NN')]",1,"['VERB', 'ADP']",[],0,0,2,1
US123540A,1872-02-06,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US123815A,1872-02-20,Improvement in brushes for ,"['Improvement', 'in', 'brushes', 'for']","[('Improvement', 'NN'), ('in', 'IN'), ('brushes', 'NNS'), ('for', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,4,1
US124272A,1872-03-05,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US124368A,1872-03-05,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US125909A,1872-04-23,Improvement in blanks of which to construct integrally the land-sides and shares of ,"['Improvement', 'in', 'blanks', 'of', 'which', 'to', 'construct', 'integrally', 'the', 'land-sides', 'and', 'shares', 'of']","[('Improvement', 'NN'), ('in', 'IN'), ('blanks', 'NNS'), ('of', 'IN'), ('which', 'WDT'), ('to', 'TO'), ('construct', 'VB'), ('integrally', 'RB'), ('the', 'DT'), ('land-sides', 'NNS'), ('and', 'CC'), ('shares', 'NNS'), ('of', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP', 'PRON', 'PART', 'VERB', 'ADV', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADP']",[],0,0,15,1
US126803A,1872-05-14,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US126812A,1872-05-14,Improvement in modes of ,"['Improvement', 'in', 'modes', 'of']","[('Improvement', 'NN'), ('in', 'IN'), ('modes', 'NNS'), ('of', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,4,1
US127123A,1872-05-21,Improvement in apparatus for ,"['Improvement', 'in', 'apparatus', 'for']","[('Improvement', 'NN'), ('in', 'IN'), ('apparatus', 'NN'), ('for', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,4,1
US127158A,1872-05-28,Improvement in hemming and binding attachments for ,"['Improvement', 'in', 'hemming', 'and', 'binding', 'attachments', 'for']","[('Improvement', 'NN'), ('in', 'IN'), ('hemming', 'VBG'), ('and', 'CC'), ('binding', 'VBG'), ('attachments', 'NNS'), ('for', 'IN')]",0,"['NOUN', 'ADP', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP']",[],0,0,7,1
US127905A,1872-06-11,Geoege w ,"['Geoege', 'w']","[('Geoege', 'NNP'), ('w', 'NN')]",1,"['VERB', 'ADP']",[],0,0,2,1
US128142A,1872-06-18,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US128778A,1872-07-09,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US128865A,1872-07-09,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US128884A,1872-07-09,Improvement in casters for ,"['Improvement', 'in', 'casters', 'for']","[('Improvement', 'NN'), ('in', 'IN'), ('casters', 'NNS'), ('for', 'IN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP']",[],0,0,4,1
US129289A,1872-07-16,Improvement in ,"['Improvement', 'in']","[('Improvement', 'NN'), ('in', 'IN')]",0,"['NOUN', 'ADP']",[],0,0,2,1
US129824A,1872-07-23,Improvement in machines for trimming bo ,"['Improvement', 'in', 'machines', 'for', 'trimming', 'bo']","[('Improvement', 'NN'), ('in', 'IN'), ('machines', 'NNS'), ('for', 'IN'), ('trimming', 'VBG'), ('bo', 'NN')]",0,"['NOUN', 'ADP', 'NOUN', 'ADP', 'VERB', 'ADP']",[],0,0,6,1
