patent_number,date,title
US300154A,1884-06-10,Assig-nob to the s 
US300155A,1884-06-10,stabr 
US300156A,1884-06-10,stare 
US300157A,1884-06-10,Calendar 
US300158A,1884-06-10,stevens 
US300159A,1884-06-10,Bending-machine 
US300160A,1884-06-10,Edmund stuezeneggee 
US300161A,1884-06-10,Windmill 
US300162A,1884-06-10,taylor 
US300163A,1884-06-10,Tramping attachment for baling-presses 
US300164A,1884-06-10,William h 
US300165A,1884-06-10,Starch-separator 
US300166A,1884-06-10,Steam engine 
US300167A,1884-06-10,Cheistophee t 
US300168A,1884-06-10,Electric an-nunciator and circuit 
US300169A,1884-06-10,Door-check 
US300170A,1884-06-10,van riper  
US300171A,1884-06-10,Asslgnoe of one-foubth 
US300172A,1884-06-10,Ticket-holder 
US300173A,1884-06-10,Machine for gathering stones 
US300174A,1884-06-10,Riveting-machine 
US300175A,1884-06-10,weimee 
US300176A,1884-06-10,Wilhelm wenzel 
US300177A,1884-06-10,Automatic starting and stopping mechanism for windmill-pumps 
US300178A,1884-06-10,Carpenter s work-bench 
US300179A,1884-06-10,Manufacture of electric conductors 
US300180A,1884-06-10,X t toe o 
US300181A,1884-06-10,wilson 
US300182A,1884-06-10,Tag-holder 
US300183A,1884-06-10,And peed cheisten 
US300184A,1884-06-10,Manufacture of sheet-iron 
US300185A,1884-06-10,Apparatus for vacuum distillation 
US300186A,1884-06-10,Half to chas 
US300187A,1884-06-10,Stage-scenery 
US300188A,1884-06-10,Wagon-brake 
US300190A,1884-06-10,geay baetlett 
US300191A,1884-06-10,William constantike beal 
US300192A,1884-06-10,Weisel bbale 
US300193A,1884-06-10,And emil m 
US300194A,1884-06-10,And emil m 
US300195A,1884-06-10,Last-block fastener 
US300196A,1884-06-10,Fifth-wheel 
US300197A,1884-06-10,Wagon-axle 
US300198A,1884-06-10,Store-service apparatus 
US300199A,1884-06-10,boecher 
US300200A,1884-06-10,Hobby-horse 
US300201A,1884-06-10,boschbet 
US300202A,1884-06-10,Alfeed boulieb 
US300203A,1884-06-10,Revolving book-stand 
US300204A,1884-06-10,Staple 
US300205A,1884-06-10,Manufacture of boots or shoes 
US300206A,1884-06-10,Method of sewing buttons to shoes 
US300207A,1884-06-10,William c 
US300208A,1884-06-10,Hay-carrier 
US300209A,1884-06-10,Grate-bar for furnaces 
US300210A,1884-06-10,Underground conduit for electric conductors 
US300211A,1884-06-10,Nut-lock 
US300212A,1884-06-10,Solomon  
US300213A,1884-06-10,Soap stand and support 
US300214A,1884-06-10,William h 
US300215A,1884-06-10,Assigmxr of ose-foubth 
US300216A,1884-06-10,Saw-mill 
US300217A,1884-06-10,Thirds to moses wogamalst ahd george w 
US300218A,1884-06-10,clothier  
US300219A,1884-06-10,William cochbane 
US300220A,1884-06-10,cohen 
US300221A,1884-06-10,Portable fence 
US300222A,1884-06-10,Well-drilling machine 
US300223A,1884-06-10,coeam 
US300224A,1884-06-10,Keej of new yobk 
US300225A,1884-06-10,Registering device for printing-presses 
US300226A,1884-06-10,Chusetts 
US300227A,1884-06-10,de aaetano 
US300228A,1884-06-10,Convertible chair 
US300229A,1884-06-10,Horse-collar 
US300230A,1884-06-10,Jacob dieteich 
US300231A,1884-06-10,Isaac dolsejt 
US300232A,1884-06-10,Head-rest 
US300233A,1884-06-10,Drag-saw 
US300234A,1884-06-10,William e 
US300235A,1884-06-10,Chaeles b 
US300236A,1884-06-10,Chables b 
US300237A,1884-06-10,Carpet-stretcher 
US300238A,1884-06-10,Electric railway-signal 
US300239A,1884-06-10,Pipe mold and flask 
US300240A,1884-06-10,Well-bucket 
US300241A,1884-06-10,Ornamental chain 
US300242A,1884-06-10,Ington 
US300243A,1884-06-10,Veneer-cutting machine 
US300244A,1884-06-10,Combined bale-band bender 
US300245A,1884-06-10,Thomas geeitt 
US300246A,1884-06-10,Apparatus for administering medicated baths 
US300247A,1884-06-10,James f 
US300248A,1884-06-10,Fire-escape 
US300249A,1884-06-10,Bird-cage 
US300250A,1884-06-10,Fuenace 
US300251A,1884-06-10,Anti-battler foe thill 
US300252A,1884-06-10,Whiffletree-hook 
US300253A,1884-06-10,bdgae w 
US300254A,1884-06-10,Peteb hebeet 
US300255A,1884-06-10,Double gage 
US300256A,1884-06-10,Door for coke-ovens 
US300257A,1884-06-10,hewitt 
US300258A,1884-06-10,hoben 
US300259A,1884-06-10,William holder 
US300260A,1884-06-10,Fountain-pen 
US300261A,1884-06-10,Geoege s 
US300262A,1884-06-10,Combined planter and fertilizer-distributer 
US300263A,1884-06-10,Hexby f 
US300264A,1884-06-10,Josiah joxson 
US300265A,1884-06-10,Bottle-stopper 
