patent_number,date,title
US400000A,1889-03-19,Mortimer g- 
US400001A,1889-03-19,Mortimer g 
US400002A,1889-03-19,Machine for opening 
US400003A,1889-03-19,Hinge 
US400004A,1889-03-19,Charles e 
US400005A,1889-03-19,Belting 
US400006A,1889-03-19,Machine-belting 
US400007A,1889-03-19,Wash-boiler 
US400008A,1889-03-19,Extension-ladder and scaffold attachment 
US400009A,1889-03-19,Ironing-table 
US400010A,1889-03-19,Process of converting crude iron into malleable iron or steel 
US400011A,1889-03-19,Thomas b 
US400012A,1889-03-19,Truck 
US400013A,1889-03-19,Henry steinberg 
US400014A,1889-03-19,Account-book 
US400015A,1889-03-19,Lumber-rack 
US400016A,1889-03-19,Bagasse-furnace 
US400017A,1889-03-19,Fkemont swain 
US400018A,1889-03-19,Buckle 
US400019A,1889-03-19,Foot-scraper 
US400020A,1889-03-19,Self-closing tobacco-bag 
US400021A,1889-03-19,venables  
US400022A,1889-03-19,End-gate for wagons 
US400023A,1889-03-19,Adolph weckmiller 
US400024A,1889-03-19,Canopy-table for undertakersj use 
US400025A,1889-03-19,wilmot 
US400026A,1889-03-19,wloek 
US400027A,1889-03-19,Rail-chair 
US400028A,1889-03-19,Electric alarm-signal for cables 
US400029A,1889-03-19,Thirds to samuel a 
US400030A,1889-03-19,Combined reel and sprinkler 
US400031A,1889-03-19,Method of mounting and preserving photographic proofs and copies 
US400032A,1889-03-19,Billiard-table rail and cushion 
US400033A,1889-03-26,Adjustable leg attachment for chairs 
US400034A,1889-03-26,Tube or tunnel protector for cable roads 
US400035A,1889-03-26,Package of fly-paper 
US400036A,1889-03-26,Animal sheaes 
US400037A,1889-03-26,Island 
US400038A,1889-03-26,bentley 
US400039A,1889-03-26,Quilting-machine 
US400040A,1889-03-26,Buggy-boot 
US400041A,1889-03-26,Ed guard bender and emanuel stevens 
US400042A,1889-03-26,Process of purifying paraffine-wax 
US400043A,1889-03-26,Process of purifying paraffin e-wax 
US400044A,1889-03-26,Billiard-table rail and cushion 
US400045A,1889-03-26,Wagon-perch-crotch coupling 
US400046A,1889-03-26,Method of mechanically treating and annealing slag 
US400047A,1889-03-26,Iethod of treating slag 
US400048A,1889-03-26,Manufacture of slag 
US400049A,1889-03-26,Device for unloading cars 
US400050A,1889-03-26,bunker 
US400051A,1889-03-26,Boiler 
US400052A,1889-03-26,Coin-package 
US400053A,1889-03-26,Roller-journal bearing 
US400054A,1889-03-26,Thirds to charles p 
US400055A,1889-03-26,Mechanical toy 
US400056A,1889-03-26,Thomas christy 
US400057A,1889-03-26,Hack-saw 
US400058A,1889-03-26,Steam-sled 
US400059A,1889-03-26,Page-index 
US400060A,1889-03-26,Apparatus for the manufacture of gas 
US400061A,1889-03-26,Grain-crushing mill 
US400062A,1889-03-26,Transferring mechanism for knit webs 
US400063A,1889-03-26,Stop-motion mechanism for knitting-machines 
US400064A,1889-03-26,August denhard 
US400065A,1889-03-26,dumont 
US400066A,1889-03-26,Railroad-car seat 
US400067A,1889-03-26,Territory 
US400068A,1889-03-26,Car-coupling 
US400069A,1889-03-26,Frederic e 
US400070A,1889-03-26,Index 
US400071A,1889-03-26,Safety car lamp and stove 
US400072A,1889-03-26,Regenerative 
US400073A,1889-03-26,fullford  
US400074A,1889-03-26,g-endron 
US400075A,1889-03-26,William goulden 
US400076A,1889-03-26,Device for holding tile-settings 
US400077A,1889-03-26,Freight-car lock 
US400078A,1889-03-26,School desk and seat 
US400079A,1889-03-26,Combined sofa and bed 
US400080A,1889-03-26,Feed-trough 
US400081A,1889-03-26,Steam-engine 
US400082A,1889-03-26,Rison 
US400083A,1889-03-26,Fencing 
US400084A,1889-03-26,Henry herbert 
US400085A,1889-03-26,Fancy figured wooden plates 
US400086A,1889-03-26,Oskar iiinsberg 
US400087A,1889-03-26,Samuel jones 
US400088A,1889-03-26,Galvanic battery 
US400089A,1889-03-26,Fastening device for car-wheel tires 
US400090A,1889-03-26,Velocipede 
US400091A,1889-03-26,Tricycle 
US400092A,1889-03-26,Ignat z j 
US400093A,1889-03-26,Territory 
US400094A,1889-03-26,Alexander h 
US400095A,1889-03-26,Reversible eccentric 
US400096A,1889-03-26,Carbureting-lam p 
US400097A,1889-03-26,Heat-radiator for hot-air furnaces 
US400098A,1889-03-26,Velocipede 
US400099A,1889-03-26,And ebenezer 
US400100A,1889-03-26,Territory 
US400101A,1889-03-26,Levee-protector 
US400102A,1889-03-26,Automatic musical instrument 
US400103A,1889-03-26,Melotte 
US400104A,1889-03-26,Ami bornand meylan 
US400105A,1889-03-26,Monogram-pattern 
US400106A,1889-03-26,Colter 
US400107A,1889-03-26,Automatic fluid-releaser 
US400108A,1889-03-26,Triple valve for automatic brake mechanisms 
US400109A,1889-03-26,Wagon-jack 
US400110A,1889-03-26,Joshua norton 
US400111A,1889-03-26,Latch and lock combined 
US400112A,1889-03-26,Fish hook exteactoe 
US400113A,1889-03-26,Hitching device for vehicle s 
US400114A,1889-03-26,Amalgamator 
US400115A,1889-03-26,Bustle 
US400116A,1889-03-26,roberts 
US400117A,1889-03-26,Feed-cutter 
US400118A,1889-03-26,Ferdinand rosskothen 
US400119A,1889-03-26,Folding bath-tub 
US400120A,1889-03-26,Combined ash pan and sifter 
US400121A,1889-03-26,Combined window-cleaner and fire-escape 
US400122A,1889-03-26,Pillow-sham holder 
US400123A,1889-03-26,Jean schoenner 
US400124A,1889-03-26,William m 
US400125A,1889-03-26,Corn-planter 
US400126A,1889-03-26,Frank shaw 
US400127A,1889-03-26,William shelly 
US400128A,1889-03-26,shepherd 
US400129A,1889-03-26,Giovanni b 
US400130A,1889-03-26,Dynamo-electric machine 
US400131A,1889-03-26,Hammock 
US400132A,1889-03-26,Thomas w 
US400133A,1889-03-26,Shade-holder 
US400134A,1889-03-26,Carriage-spring 
