patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US200263A,1878-02-12,daverio,['NOUN'],[],0,0,1,0
US200528A,1878-02-19,Improvement,['NOUN'],[],0,0,1,0
US200676A,1878-02-26,photo,['NOUN'],[],0,0,1,0
US200913A,1878-03-05,howse,['ADV'],[],0,0,1,0
US200984A,1878-03-05,curtis,['NOUN'],[],0,0,1,0
US201321A,1878-03-19,boardman,['NOUN'],[],0,0,1,0
US201336A,1878-03-19,Improvement,['NOUN'],[],0,0,1,0
US202092A,1878-04-09,beebd,['NOUN'],[],0,0,1,0
US202218A,1878-04-09,batty,['VERB'],[],0,0,1,0
US202464A,1878-04-16,porter,['NOUN'],[],0,0,1,0
US202662A,1878-04-23,pallu,['NOUN'],[],0,0,1,0
US202672A,1878-04-23,slatbe,['VERB'],[],0,0,1,0
US203133A,1878-04-30,gessert,['VERB'],[],0,0,1,0
US203194A,1878-04-30,bhoades,['NOUN'],[],0,0,1,0
US203351A,1878-05-07,locke,['NOUN'],[],0,0,1,0
US203766A,1878-05-14,Preventive,['ADJ'],[],0,0,1,0
US204228A,1878-05-28,hyatt,['NOUN'],[],0,0,1,0
US204429A,1878-06-04,Improvement,['NOUN'],[],0,0,1,0
US204445A,1878-06-04,Nvsprovement,['ADJ'],[],0,0,1,0
US204554A,1878-06-04,gearing,['VERB'],[],0,0,1,0
US204555A,1878-06-04,geaeing,['VERB'],[],0,0,1,0
US204567A,1878-06-04,hastings,['NOUN'],[],0,0,1,0
US204618A,1878-06-04,Improvement,['NOUN'],[],0,0,1,0
US204670A,1878-06-11,hooper,['NOUN'],[],0,0,1,0
US204681A,1878-06-11,newell,['ADJ'],[],0,0,1,0
US204695A,1878-06-11,winebrenneb,['NOUN'],[],0,0,1,0
US204726A,1878-06-11,Improvement,['NOUN'],[],0,0,1,0
US204729A,1878-06-11,Improvement,['NOUN'],[],0,0,1,0
US204758A,1878-06-11,Island,['NOUN'],[],0,0,1,0
US204828A,1878-06-11,Improvement,['NOUN'],[],0,0,1,0
US205082A,1878-06-18,haskell,['VERB'],[],0,0,1,0
US205133A,1878-06-18,-porteb,['NOUN'],[],0,0,1,0
US205167A,1878-06-25,Improvement,['NOUN'],[],0,0,1,0
US205271A,1878-06-25,hyatt,['NOUN'],[],0,0,1,0
US205469A,1878-07-02,Improvement,['NOUN'],[],0,0,1,0
US205479A,1878-07-02,Improvement,['NOUN'],[],0,0,1,0
US206763A,1878-08-06,baenes-,['VERB'],[],0,0,1,0
US206925A,1878-08-13,Ijvvejvtos,['NOUN'],[],0,0,1,0
US207123A,1878-08-20,keller,['VERB'],[],0,0,1,0
US207235A,1878-08-20,Improvement,['NOUN'],[],0,0,1,0
US207264A,1878-08-20,Improvement,['NOUN'],[],0,0,1,0
US207367A,1878-08-27,Improvement,['NOUN'],[],0,0,1,0
US207376A,1878-08-27,Improvement,['NOUN'],[],0,0,1,0
US207568A,1878-08-27,-tailor,['NOUN'],[],0,0,1,0
US208061A,1878-09-17,Improvement,['NOUN'],[],0,0,1,0
US208534A,1878-10-01,Wventor,['NOUN'],[],0,0,1,0
US208561A,1878-10-01,Berge,['VERB'],[],0,0,1,0
US208835A,1878-10-08,Imathieu,['VERB'],[],0,0,1,0
US208874A,1878-10-08,weight,['NOUN'],[],0,0,1,0
US209029A,1878-10-15,donner,['NOUN'],[],0,0,1,0
US209187A,1878-10-22,Teeeitoey,['NOUN'],['ORG'],0,0,1,0
US209533A,1878-10-29,whitbegk,['ADJ'],[],0,0,1,0
US209949A,1878-11-12,westlake,['VERB'],[],0,0,1,0
US210230A,1878-11-26,Improvement,['NOUN'],[],0,0,1,0
US210275A,1878-11-26,teter,['ADV'],[],0,0,1,0
US210469A,1878-12-03,Territory,['NOUN'],[],0,0,1,0
US210792A,1878-12-10,lindsay,['VERB'],[],0,0,1,0
US210900A,1878-12-17,Improvement,['NOUN'],[],0,0,1,0
US210940A,1878-12-17,Improvement,['NOUN'],[],0,0,1,0
US211311A,1879-01-14,Improvement,['NOUN'],[],0,0,1,0
US211363A,1879-01-14,woobwaeb,['NOUN'],[],0,0,1,0
US211369A,1879-01-14,ambler,['NOUN'],[],0,0,1,0
US211583A,1878-06-13,paddock,['NOUN'],[],0,0,1,0
US211718A,1879-01-28,duckworth,['NOUN'],[],0,0,1,0
US211735A,1879-01-28,Improvement,['NOUN'],[],0,0,1,0
US211826A,1879-01-28,woksley,['ADJ'],[],0,0,1,0
US211849A,1879-02-04,hptchkiss,['VERB'],[],0,0,1,0
US211947A,1879-02-04,Improvement,['NOUN'],[],0,0,1,0
US212030A,1879-02-04,matthes,['NOUN'],[],0,0,1,0
US212178A,1879-02-11,Improvement,['NOUN'],[],0,0,1,0
US212346A,1879-02-18,Improvement,['NOUN'],[],0,0,1,0
US212560A,1879-02-25,Improvement,['NOUN'],[],0,0,1,0
US212797A,1879-03-04,godfrey,['VERB'],[],0,0,1,0
US212812A,1879-03-04,Improvement,['NOUN'],[],0,0,1,0
US213047A,1879-03-11,hughes,['NOUN'],[],0,0,1,0
US213134A,1879-03-11,Improvement,['NOUN'],[],0,0,1,0
US213197A,1879-03-11,-herring,['VERB'],[],0,0,1,0
US213202A,1879-03-11,Improvement,['NOUN'],[],0,0,1,0
US213453A,1879-03-18,Improvement,['NOUN'],[],0,0,1,0
US213459A,1879-03-18,slices,['NOUN'],[],0,0,1,0
US214243A,1879-04-15,Improvement,['NOUN'],[],0,0,1,0
US214983A,1879-05-06,Improvement,['NOUN'],[],0,0,1,0
US215136A,1879-05-06,khowles,['NOUN'],[],0,0,1,0
US215554A,1879-05-20,Improvement,['NOUN'],[],0,0,1,0
US215598A,1879-05-20,Improvement,['NOUN'],[],0,0,1,0
US215826A,1879-05-27,Improvement,['NOUN'],[],0,0,1,0
US216196A,1879-06-03,Hydrocarbons,['NOUN'],[],0,0,1,0
US216666A,1879-06-17,Wlriebsbs,['NOUN'],[],0,0,1,0
US216828A,1879-06-24,burden,['NOUN'],[],0,0,1,0
US216951A,1879-07-01,Lothian,['ADJ'],['ORG'],0,0,1,0
US217216A,1879-07-08,Improvement,['NOUN'],[],0,0,1,0
US217223A,1879-07-08,hunter,['NOUN'],[],0,0,1,0
US217272A,1879-07-08,dieteeich,['NOUN'],[],0,0,1,0
US217278A,1879-07-08,Island,['NOUN'],[],0,0,1,0
US217377A,1879-07-08,hislop,['VERB'],['ORG'],0,0,1,0
US217550A,1879-07-15,Improvement,['NOUN'],[],0,0,1,0
US217702A,1879-07-22,Santo,['PRON'],[],0,0,1,0
US218658A,1879-08-19,Improvement,['NOUN'],[],0,0,1,0
US218984A,1879-08-26,Rubber,['NOUN'],[],0,0,1,0
US219154A,1879-09-02,Improvement,['NOUN'],[],0,0,1,0
US219184A,1879-09-02,Improvemen,['NOUN'],[],0,0,1,0
US219187A,1879-09-02,trayis,['NOUN'],[],0,0,1,0
US219293A,1879-09-02,Improvement,['NOUN'],[],0,0,1,0
US219367A,1879-09-09,Improvement,['NOUN'],[],0,0,1,0
US219574A,1879-09-16,Improvement,['NOUN'],[],0,0,1,0
US219750A,1879-09-16,mocallum,['ADJ'],[],0,0,1,0
US220002A,1879-09-23,wallace,['NOUN'],[],0,0,1,0
