patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings
US3415895A,1966-05-05,Perfluorodicyclopent,['NOUN'],[],0,0,1,['perfluorodicyclopent'],0
US3415932A,1965-05-18,7,['NUM'],['CARDINAL'],0,0,1,['7'],0
US3417059A,1965-10-11,"1,3,5",['NUM'],['CARDINAL'],0,0,1,"['1,3,5']",0
US3418336A,1965-04-02,gem,['NOUN'],[],0,0,1,['gem'],0
US3419729A,1966-08-03,Theft,['NOUN'],[],0,0,1,['theft'],0
US3420829A,1965-05-18,"3,4",['NUM'],['CARDINAL'],0,0,1,"['3,4']",0
US3422092A,1966-02-18,2,['NUM'],['CARDINAL'],0,0,1,['2'],0
US3422105A,1966-04-01,8,['NUM'],['CARDINAL'],0,0,1,['8'],0
US3422120A,1966-05-10,"1,1",['NUM'],['CARDINAL'],0,0,1,"['1,1']",0
US3423415A,1964-03-26,4,['NUM'],['CARDINAL'],0,0,1,['4'],0
US3424266A,1963-06-21,Gas,['NOUN'],[],0,0,1,['gas'],0
US3426002A,1965-03-22,Organo,['NOUN'],[],0,0,1,['organo'],0
US3426031A,1967-01-19,"3,5,6",['NUM'],['CARDINAL'],0,0,1,"['3,5,6']",0
US3426036A,1966-08-04,N,['NUM'],[],0,0,1,['n'],0
US3426044A,1965-10-18,"3,6",['NOUN'],['CARDINAL'],0,0,1,"['3,6']",0
US3427305A,1966-11-01,5,['NUM'],['CARDINAL'],0,0,1,['5'],0
US3427325A,1962-11-01,"1,2,3",['NUM'],['CARDINAL'],0,0,1,"['1,2,3']",0
US3427327A,1962-11-01,"1,2,3,4",['NUM'],[],0,0,1,"['1,2,3,4']",0
US3427331A,1966-12-29,17,['NUM'],['CARDINAL'],0,0,1,['17'],0
US3428626A,1966-09-12,"6alpha,7alpha",['NUM'],['CARDINAL'],0,0,1,"['6alpha,7alpha']",0
US3429889A,1965-09-27,8,['NUM'],['CARDINAL'],0,0,1,['8'],0
US3430051A,1964-12-23,Photoconductive,['ADJ'],[],0,0,1,['photoconductive'],0
US3431303A,1968-02-09,"6,11",['NUM'],['CARDINAL'],0,0,1,"['6,11']",0
US3431304A,1965-09-22,2,['NUM'],['CARDINAL'],0,0,1,['2'],0
US3432523A,1967-05-02,"11,11a",['NUM'],[],0,0,1,"['11,11a']",0
US3432526A,1966-06-23,"5,9",['NUM'],['CARDINAL'],0,0,1,"['5,9']",0
US3433797A,1966-06-24,2,['NUM'],['CARDINAL'],0,0,1,['2'],0
US3435029A,1965-10-18,16,['NUM'],['CARDINAL'],0,0,1,['16'],0
US3436410A,1964-04-09,"1,4",['NUM'],['CARDINAL'],0,0,1,"['1,4']",0
US3438979A,1966-08-11,2,['NUM'],['CARDINAL'],0,0,1,['2'],0
US3439093A,1964-10-13,6,['NUM'],['CARDINAL'],0,0,1,['6'],0
US3440000A,1966-06-22,1,['NUM'],['CARDINAL'],0,0,1,['1'],0
US3440201A,1965-08-26,Melamine,['ADJ'],[],0,0,1,['melamine'],0
US3441608A,1964-11-26,5beta,['NUM'],['TIME'],0,0,1,['5beta'],0
US3442888A,1962-05-17,Sucrose,['VERB'],[],0,0,1,['sucrose'],0
US3442917A,1964-07-13,"2beta,3beta,14alpha",['NUM'],[],0,0,1,"['2beta,3beta,14alpha']",0
US3442919A,1966-03-14,17alpha,['X'],['CARDINAL'],0,0,1,['17alpha'],0
