patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US3702851A,1969-02-01,3,['NUM'],['CARDINAL'],0,0,1,0
US3702879A,1965-07-12,Bis-(p,['VERB'],['ORG'],0,0,1,0
US3703530A,1970-08-24,Alkyl,['NOUN'],[],0,0,1,0
US3704242A,1970-12-30,5,['NUM'],['CARDINAL'],0,0,1,0
US3704253A,1970-09-23,13,['NUM'],['CARDINAL'],0,0,1,0
US3704290A,1970-12-09,6-(1,['NOUN'],[],0,0,1,0
US3704297A,1971-03-05,7,['NUM'],['CARDINAL'],0,0,1,0
US3704303A,1971-03-17,"6,7,8,9",['NUM'],['CARDINAL'],0,0,1,0
US3707468A,1970-06-15,"3,3a",['NUM'],[],0,0,1,0
US3714360A,1970-02-16,Alpha,['NOUN'],[],0,0,1,0
US3724454A,1971-02-04,Humidifier,['NOUN'],[],0,0,1,0
US3739012A,1971-02-16,Dimethylsulfonium,['NOUN'],[],0,0,1,0
US3746713A,1971-06-29,S-(1,['NOUN'],[],0,0,1,0
US3746743A,1963-08-22,2,['NUM'],['CARDINAL'],0,0,1,0
US3752871A,1970-07-30,O,['INTJ'],[],0,0,1,0
US3754030A,1969-02-25,N,['NUM'],[],0,0,1,0
US3755357A,1970-05-26,"2,3",['NUM'],[],0,0,1,0
US3755381A,1971-11-22,"6,7",['NUM'],['CARDINAL'],0,0,1,0
US3755468A,1967-01-10,1,['NUM'],['CARDINAL'],0,0,1,0
US3759907A,1969-05-22,3,['NUM'],['CARDINAL'],0,0,1,0
US3761466A,1971-07-09,6,['NUM'],['CARDINAL'],0,0,1,0
US3761470A,1970-06-17,2-(4,['NUM'],['CARDINAL'],0,0,1,0
US3763148A,1971-06-07,"2,6",['NUM'],['CARDINAL'],0,0,1,0
US3763173A,1971-02-16,2,['NUM'],['CARDINAL'],0,0,1,0
US3766168A,1969-12-12,N6-(chlorobuten,[],[],0,0,1,0
US3766467A,1972-01-12,Inverter,['NOUN'],[],0,0,1,0
US3769313A,1971-06-30,N,['NUM'],[],0,0,1,0
US3769314A,1971-07-14,N,['NUM'],[],0,0,1,0
US3770716A,1970-02-02,"2,4",['NUM'],['CARDINAL'],0,0,1,0
US3770722A,1971-10-04,6,['NUM'],['CARDINAL'],0,0,1,0
US3770776A,1970-06-04,2-(hydroxy,['NUM'],[],0,0,1,0
US3792558A,1970-03-02,Three,['NUM'],['CARDINAL'],0,0,1,0
