patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US1686168A,1928-10-02,nihlros,['nihlros'],"[('nihlros', 'NNS')]",['NUM'],[],0,0,1,0
US1686233A,1928-10-02,halliday,['halliday'],"[('halliday', 'NN')]",['NOUN'],[],0,0,1,0
US1686425A,1928-10-02,Refrigeration,['Refrigeration'],"[('Refrigeration', 'NN')]",['NOUN'],[],0,0,1,0
US1686485A,1928-10-02,Assiotob,['Assiotob'],"[('Assiotob', 'NN')]",['VERB'],[],0,0,1,0
US1686829A,1928-10-09,Btjmpeb,['Btjmpeb'],"[('Btjmpeb', 'NN')]",['NOUN'],[],0,0,1,0
US1686963A,1921-01-04,eckersley,['eckersley'],"[('eckersley', 'NN')]",['NOUN'],[],0,0,1,0
US1687061A,1928-10-09,Amplitude,['Amplitude'],"[('Amplitude', 'NN')]",['NOUN'],[],0,0,1,0
US1687130A,1928-10-09,Calculator,['Calculator'],"[('Calculator', 'NN')]",['NOUN'],[],0,0,1,0
US1687228A,1928-10-09,qtjebec,['qtjebec'],"[('qtjebec', 'NN')]",['NOUN'],[],0,0,1,0
US1687386A,1928-10-09,reeve,['reeve'],"[('reeve', 'NN')]",['VERB'],[],0,0,1,0
US1687401A,1928-10-09,snyder,['snyder'],"[('snyder', 'NN')]",['NOUN'],[],0,0,1,0
US1687674A,1928-10-16,Setts,['Setts'],"[('Setts', 'NN')]",['NOUN'],['NORP'],0,0,1,0
US1687829A,1928-10-16,Drier,['Drier'],"[('Drier', 'NN')]",['NOUN'],[],0,0,1,0
US1687990A,1928-10-16,Substances,['Substances'],"[('Substances', 'NNS')]",['NOUN'],[],0,0,1,0
US1688042A,1928-10-16,gaess,['gaess'],"[('gaess', 'NN')]",['VERB'],[],0,0,1,0
US1688150A,1928-10-16,Signors,['Signors'],"[('Signors', 'NNS')]",['NOUN'],[],0,0,1,0
