patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US1625105A,1927-04-19,nan,['nan'],"[('nan', 'NN')]",['PROPN'],['GPE'],1,0,1
US1625119A,1923-04-18,Piston,['Piston'],"[('Piston', 'NN')]","['PROPN', 'SPACE']",['GPE'],1,0,2
US1625120A,1923-04-18,Piston,['Piston'],"[('Piston', 'NN')]","['PROPN', 'SPACE']",['GPE'],1,0,2
US1625156A,1926-05-28,Loom,['Loom'],"[('Loom', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625168A,1925-03-23,Weeder,['Weeder'],"[('Weeder', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625169A,1925-07-23,Weeder,['Weeder'],"[('Weeder', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625175A,1926-06-17,Micrometer,['Micrometer'],"[('Micrometer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625209A,1923-11-23,Trailer,['Trailer'],"[('Trailer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625214A,1923-09-27,Velocipede,['Velocipede'],"[('Velocipede', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625246A,1925-04-06,Headlight,['Headlight'],"[('Headlight', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625267A,1926-01-12,Headrest,['Headrest'],"[('Headrest', 'JJS')]","['PROPN', 'SPACE']",[],1,0,2
US1625268A,1925-11-13,Timer,['Timer'],"[('Timer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625302A,1926-08-30,Cultivator,['Cultivator'],"[('Cultivator', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625347A,1925-05-08,Conveyer,['Conveyer'],"[('Conveyer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1625361A,1919-05-19,Gyrocompass,['Gyrocompass'],"[('Gyrocompass', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
