patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,is_inventor
US1693961A,1928-12-04,Hzemacytometeb,['hzemacytometeb'],"[('Hzemacytometeb', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1693967A,1928-12-04,Adolph a,"['adolph', 'a']","[('Adolph', 'NNP'), ('a', 'DT')]","['VERB', 'PRON']",['PERSON'],0,1,2,1
US1694718A,1928-12-11,peters,['peters'],"[('peters', 'NNS')]",['NOUN'],['PERSON'],0,1,1,1
US1694863A,1928-12-11,Beatbice m,"['beatbice', 'm']","[('Beatbice', 'NNP'), ('m', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1695527A,1928-12-18,Nicholas braun,"['nicholas', 'braun']","[('Nicholas', 'NNS'), ('braun', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1695645A,1928-12-18,farley,['farley'],"[('farley', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1696333A,1928-12-25,Blectbicai instrument,"['blectbicai', 'instrument']","[('Blectbicai', 'NNP'), ('instrument', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1696402A,1924-08-07,Radioantenna,['radioantenna'],"[('Radioantenna', 'NN')]",['PROPN'],['PERSON'],1,1,2,1
US1696525A,1928-12-25,Pbopezj,['pbopezj'],"[('Pbopezj', 'NN')]",['VERB'],['PERSON'],0,1,1,1
US1696603A,1926-08-26,George w,"['george', 'w']","[('George', 'NNP'), ('w', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1696769A,1928-12-25,Hans jordan,"['hans', 'jordan']","[('Hans', 'NNS'), ('jordan', 'VBP')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1696846A,1928-12-25,Kabl imhojt,"['kabl', 'imhojt']","[('Kabl', 'NNP'), ('imhojt', 'NN')]","['PROPN', 'ADV']",['PERSON'],1,1,2,1
US1696848A,1928-12-25,Shobs clamp,"['shobs', 'clamp']","[('Shobs', 'NNP'), ('clamp', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1696867A,1928-12-25,Martin segqbia,"['martin', 'segqbia']","[('Martin', 'NNP'), ('segqbia', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1697022A,1929-01-01,John a,"['john', 'a']","[('John', 'NNP'), ('a', 'DT')]","['PROPN', 'PRON']",['PERSON'],1,1,2,1
US1697091A,1929-01-01,Joseph skubic,"['joseph', 'skubic']","[('Joseph', 'NNP'), ('skubic', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1697996A,1929-01-08,Claude nagle,"['claude', 'nagle']","[('Claude', 'NNP'), ('nagle', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1698048A,1929-01-08,Hans t,"['hans', 't']","[('Hans', 'NNS'), ('t', 'VBP')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1698522A,1929-01-08,Ttniveesai,['ttniveesai'],"[('Ttniveesai', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1699168A,1929-01-15,tilberg,['tilberg'],"[('tilberg', 'NN')]",['VERB'],['PERSON'],0,1,1,1
US1699468A,1929-01-15,grayson,['grayson'],"[('grayson', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1699563A,1929-01-22,Albert h,"['albert', 'h']","[('Albert', 'NNP'), ('h', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
