patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,is_inventor
US1628713A,1927-05-17,William h,"['william', 'h']","[('William', 'NNP'), ('h', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1628802A,1927-05-17,perrem,['perrem'],"[('perrem', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1629095A,1927-05-17,Robert c,"['robert', 'c']","[('Robert', 'NNP'), ('c', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1629175A,1927-05-17,peters,['peters'],"[('peters', 'NNS')]",['NOUN'],['PERSON'],0,1,1,1
US1629176A,1927-05-17,Frederick g,"['frederick', 'g']","[('Frederick', 'NNP'), ('g', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1629187A,1927-05-17,Herbert a,"['herbert', 'a']","[('Herbert', 'NNP'), ('a', 'DT')]","['PROPN', 'PRON']",['PERSON'],1,1,2,1
US1629489A,1927-05-24,Anton dvokak,"['anton', 'dvokak']","[('Anton', 'NNP'), ('dvokak', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1629559A,1927-05-24,watson,['watson'],"[('watson', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1629882A,1927-05-24,Xf dayton,"['xf', 'dayton']","[('Xf', 'CD'), ('dayton', 'NN')]","['NOUN', 'NOUN']",['PERSON'],0,1,2,1
US1630104A,1927-05-24,austin,['austin'],"[('austin', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1631843A,1927-06-07,uffert,['uffert'],"[('uffert', 'JJ')]",['PROPN'],['PERSON'],1,1,1,1
US1632000A,1927-06-14,Nesota,['nesota'],"[('Nesota', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1632448A,1927-06-14,Eeahz losbii,"['eeahz', 'losbii']","[('Eeahz', 'NNP'), ('losbii', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1632587A,1927-06-14,Nicholas benenati,"['nicholas', 'benenati']","[('Nicholas', 'NNS'), ('benenati', 'NNS')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1632595A,1927-06-14,Max goedok,"['max', 'goedok']","[('Max', 'NNP'), ('goedok', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1632740A,1927-06-14,Indttstrie axtiengesellschaft,"['indttstrie', 'axtiengesellschaft']","[('Indttstrie', 'NNP'), ('axtiengesellschaft', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1632793A,1927-06-21,William henderson,"['william', 'henderson']","[('William', 'NNP'), ('henderson', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1633221A,1927-06-21,William me,"['william', 'me']","[('William', 'NNP'), ('me', 'PRP')]","['VERB', 'PRON']",['PERSON'],0,1,2,1
US1633238A,1927-06-21,bassett,['bassett'],"[('bassett', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1634097A,1927-06-28,Albert vaj,"['albert', 'vaj']","[('Albert', 'NNP'), ('vaj', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1634429A,1924-08-04,mechlin,['mechlin'],"[('mechlin', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1634432A,1927-07-05,John ii,"['john', 'ii']","[('John', 'NNP'), ('ii', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1634556A,1927-07-05,Said kbeitek,"['said', 'kbeitek']","[('Said', 'NNP'), ('kbeitek', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1635100A,1927-07-05,George j,"['george', 'j']","[('George', 'NNP'), ('j', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1635115A,1927-07-05,Said pjeifeb,"['said', 'pjeifeb']","[('Said', 'NNP'), ('pjeifeb', 'NN')]","['VERB', 'NOUN']",['PERSON'],0,1,2,1
US1635311A,1927-07-12,corrigan,['corrigan'],"[('corrigan', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1635533A,1927-07-12,burtnett,['burtnett'],"[('burtnett', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1635723A,1927-07-12,Ivan miller,"['ivan', 'miller']","[('Ivan', 'NNP'), ('miller', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1635894A,1927-07-12,michelin,['michelin'],"[('michelin', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1636047A,1927-07-19,Calp weaker,"['calp', 'weaker']","[('Calp', 'NNP'), ('weaker', 'NN')]","['NOUN', 'ADJ']",['PERSON'],0,1,2,1
US1636060A,1927-07-19,kennedy,['kennedy'],"[('kennedy', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1636487A,1927-07-19,Thomas t,"['thomas', 't']","[('Thomas', 'NNP'), ('t', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1636530A,1927-07-19,Sverre nyhus,"['sverre', 'nyhus']","[('Sverre', 'NNP'), ('nyhus', 'RB')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1636653A,1927-07-19,van buren,"['van', 'buren']","[('van', 'NN'), ('buren', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1636885A,1927-07-26,Frank wells,"['frank', 'wells']","[('Frank', 'NNP'), ('wells', 'NNS')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1636962A,1927-07-26,jacobson,['jacobson'],"[('jacobson', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1637018A,1927-07-26,William d,"['william', 'd']","[('William', 'NNP'), ('d', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1637413A,1927-08-02,Donald elder,"['donald', 'elder']","[('Donald', 'NNP'), ('elder', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1637726A,1927-08-02,bebgsiai,['bebgsiai'],"[('bebgsiai', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1637917A,1927-08-02,Robert richter,"['robert', 'richter']","[('Robert', 'NNP'), ('richter', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1638647A,1927-08-09,ml taylor,"['ml', 'taylor']","[('ml', 'NN'), ('taylor', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1640258A,1927-08-23,taylor,['taylor'],"[('taylor', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1640393A,1927-08-30,William w,"['william', 'w']","[('William', 'NNP'), ('w', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1641232A,1927-09-06,Caklson,['caklson'],"[('Caklson', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1641356A,1927-09-06,Thomas w,"['thomas', 'w']","[('Thomas', 'NNP'), ('w', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1641385A,1927-09-06,Xtnivebsal coupling,"['xtnivebsal', 'coupling']","[('Xtnivebsal', 'NN'), ('coupling', 'VBG')]","['NOUN', 'VERB']",['PERSON'],0,1,2,1
US1641532A,1927-09-06,Wateb heater,"['wateb', 'heater']","[('Wateb', 'NNP'), ('heater', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1641737A,1927-09-06,Edith clabke,"['edith', 'clabke']","[('Edith', 'NNP'), ('clabke', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1641875A,1927-09-06,Joseph beaulieu,"['joseph', 'beaulieu']","[('Joseph', 'NNP'), ('beaulieu', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1641894A,1927-09-06,mambourg,['mambourg'],"[('mambourg', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1641898A,1927-09-06,Joseph m,"['joseph', 'm']","[('Joseph', 'NNP'), ('m', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1641972A,1927-09-13,hobson,['hobson'],"[('hobson', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1642091A,1927-09-13,Joseph slepian,"['joseph', 'slepian']","[('Joseph', 'NNP'), ('slepian', 'JJ')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1642263A,1927-09-13,Alois ztnxb,"['alois', 'ztnxb']","[('Alois', 'NNP'), ('ztnxb', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1642658A,1927-09-13,holmes,['holmes'],"[('holmes', 'NNS')]",['NOUN'],['PERSON'],0,1,2,1
US1642857A,1927-09-20,Leo holtschneideb,"['leo', 'holtschneideb']","[('Leo', 'NNP'), ('holtschneideb', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1642965A,1927-09-20,louis,['louis'],"[('louis', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1643083A,1927-09-20,Lawrence f,"['lawrence', 'f']","[('Lawrence', 'NNP'), ('f', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1643269A,1927-09-20,Leonard foote,"['leonard', 'foote']","[('Leonard', 'NNP'), ('foote', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1643383A,1927-09-27,kennedy,['kennedy'],"[('kennedy', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1643869A,1923-03-06,Paul barre,"['paul', 'barre']","[('Paul', 'NNP'), ('barre', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1644291A,1927-10-04,Hebman l,"['hebman', 'l']","[('Hebman', 'NNP'), ('l', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1644292A,1927-10-04,thomas,['thomas'],"[('thomas', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1644678A,1927-10-11,Assighos,['assighos'],"[('Assighos', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1644883A,1927-10-11,johnson,['johnson'],"[('johnson', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1645156A,1927-10-11,Thomas it,"['thomas', 'it']","[('Thomas', 'NNP'), ('it', 'PRP')]","['PROPN', 'PRON']",['PERSON'],1,1,2,1
US1645388A,1927-10-11,Stoobn,['stoobn'],"[('Stoobn', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1645847A,1927-10-18,Flotjr mill,"['flotjr', 'mill']","[('Flotjr', 'NNP'), ('mill', 'NN')]","['ADJ', 'NOUN']",['PERSON'],0,1,2,1
US1645905A,1926-03-03,Provements limited,"['provements', 'limited']","[('Provements', 'NNS'), ('limited', 'VBD')]","['NOUN', 'VERB']",['PERSON'],0,1,2,1
US1645953A,1927-10-18,John kabasevich,"['john', 'kabasevich']","[('John', 'NNP'), ('kabasevich', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1645954A,1927-10-18,Aaron keizer,"['aaron', 'keizer']","[('Aaron', 'NNP'), ('keizer', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1646097A,1927-10-18,Michael liptak,"['michael', 'liptak']","[('Michael', 'NNP'), ('liptak', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1646105A,1927-10-18,peters,['peters'],"[('peters', 'NNS')]",['NOUN'],['PERSON'],0,1,1,1
US1646151A,1927-10-18,kennedy,['kennedy'],"[('kennedy', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1646256A,1927-10-18,William f,"['william', 'f']","[('William', 'NNP'), ('f', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1646407A,1927-10-25,jones,['jones'],"[('jones', 'NNS')]",['PROPN'],['PERSON'],1,1,1,1
US1646863A,1927-10-25,Assighos,['assighos'],"[('Assighos', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1646893A,1927-10-25,John wittemann,"['john', 'wittemann']","[('John', 'NNP'), ('wittemann', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1647111A,1927-10-25,bauerle,['bauerle'],"[('bauerle', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1647532A,1927-11-01,Edward h,"['edward', 'h']","[('Edward', 'NNP'), ('h', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1648230A,1927-11-08,Abttiaz,['abttiaz'],"[('Abttiaz', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1648410A,1927-11-08,lawton,['lawton'],"[('lawton', 'NN')]",['X'],['PERSON'],0,1,1,1
US1648552A,1927-11-08,la brie,"['la', 'brie']","[('la', 'NN'), ('brie', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1649051A,1927-11-15,Womtenstein,['womtenstein'],"[('Womtenstein', 'NNP')]",['PROPN'],['PERSON'],1,1,1,1
US1649379A,1927-11-15,Jean bergmann,"['jean', 'bergmann']","[('Jean', 'NNP'), ('bergmann', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1649392A,1927-11-15,Thomas duffy,"['thomas', 'duffy']","[('Thomas', 'NNP'), ('duffy', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1649408A,1927-11-15,Max jacob,"['max', 'jacob']","[('Max', 'NNP'), ('jacob', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1649409A,1927-11-15,Egbert jabdine,"['egbert', 'jabdine']","[('Egbert', 'NNP'), ('jabdine', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1649562A,1927-11-15,John f,"['john', 'f']","[('John', 'NNP'), ('f', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1649710A,1927-11-15,Hans xieemann,"['hans', 'xieemann']","[('Hans', 'NNS'), ('xieemann', 'VBP')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1649988A,1927-11-22,Shiuuman,['shiuuman'],"[('Shiuuman', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1650054A,1927-11-22,Maitbice c,"['maitbice', 'c']","[('Maitbice', 'NNP'), ('c', 'NN')]","['NOUN', 'VERB']",['PERSON'],0,1,2,1
US1650155A,1927-11-22,George n,"['george', 'n']","[('George', 'NNP'), ('n', 'NNS')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1650374A,1927-11-22,Nventdfzs,['nventdfzs'],"[('Nventdfzs', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1650831A,1927-11-29,halversen,['halversen'],"[('halversen', 'NN')]",['VERB'],['PERSON'],0,1,1,1
US1650989A,1927-11-29,Paul karrer,"['paul', 'karrer']","[('Paul', 'NNP'), ('karrer', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1651256A,1927-11-29,davis,['davis'],"[('davis', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1651337A,1927-11-29,anderson,['anderson'],"[('anderson', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1651702A,1927-12-06,William r,"['william', 'r']","[('William', 'NNP'), ('r', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1651768A,1927-12-06,gregg,['gregg'],"[('gregg', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1652324A,1927-12-13,john kogbkt,"['john', 'kogbkt']","[('john', 'NN'), ('kogbkt', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1652487A,1927-12-13,Bbtyb,['bbtyb'],"[('Bbtyb', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1652650A,1927-12-13,George d,"['george', 'd']","[('George', 'NNP'), ('d', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1652849A,1927-12-13,Paul weissbach,"['paul', 'weissbach']","[('Paul', 'NNP'), ('weissbach', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1652905A,1927-12-13,Nicholas j,"['nicholas', 'j']","[('Nicholas', 'NNP'), ('j', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1653211A,1927-12-20,johnson,['johnson'],"[('johnson', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1653337A,1927-12-20,bloxham,['bloxham'],"[('bloxham', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1653484A,1927-12-20,James m,"['james', 'm']","[('James', 'NNP'), ('m', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1653485A,1927-12-20,Madge,['madge'],"[('Madge', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1653754A,1927-12-27,artberg,['artberg'],"[('artberg', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1654108A,1926-03-19,Radioantenna,['radioantenna'],"[('Radioantenna', 'NN')]",['PROPN'],['PERSON'],1,1,2,1
US1654191A,1927-12-27,Souri,['souri'],"[('Souri', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1654288A,1927-12-27,Ivan gubelmann,"['ivan', 'gubelmann']","[('Ivan', 'NNP'), ('gubelmann', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1655137A,1928-01-03,William b,"['william', 'b']","[('William', 'NNP'), ('b', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1655269A,1928-01-03,Goodwin h,"['goodwin', 'h']","[('Goodwin', 'NNP'), ('h', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1655450A,1928-01-10,Austin l,"['austin', 'l']","[('Austin', 'NNP'), ('l', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1655529A,1928-01-10,Christopher,['christopher'],"[('Christopher', 'NN')]",['PROPN'],['PERSON'],1,1,2,1
US1655580A,1928-01-10,Stuedeman,['stuedeman'],"[('Stuedeman', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1655618A,1928-01-10,Assighoe,['assighoe'],"[('Assighoe', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1655642A,1928-01-10,Frederick m,"['frederick', 'm']","[('Frederick', 'NNP'), ('m', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1655658A,1928-01-10,Edward naueb,"['edward', 'naueb']","[('Edward', 'NNP'), ('naueb', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1655736A,1928-01-10,William potteb,"['william', 'potteb']","[('William', 'NNP'), ('potteb', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1655828A,1928-01-10,Assighoe to,"['assighoe', 'to']","[('Assighoe', 'NN'), ('to', 'TO')]","['PROPN', 'PART']",['PERSON'],1,1,2,1
US1655923A,1928-01-10,taylor,['taylor'],"[('taylor', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1656067A,1928-01-10,William f,"['william', 'f']","[('William', 'NNP'), ('f', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1656669A,1927-12-01,Thomas gore,"['thomas', 'gore']","[('Thomas', 'NNP'), ('gore', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1657045A,1928-01-24,Habby p,"['habby', 'p']","[('Habby', 'NNP'), ('p', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1657533A,1928-01-31,Bisk wheel,"['bisk', 'wheel']","[('Bisk', 'NNP'), ('wheel', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1657895A,1928-01-31,Albert osvalb,"['albert', 'osvalb']","[('Albert', 'NNP'), ('osvalb', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1658106A,1928-02-07,William thompson,"['william', 'thompson']","[('William', 'NNP'), ('thompson', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1658385A,1928-02-07,Said cald,"['said', 'cald']","[('Said', 'NNP'), ('cald', 'NN')]","['VERB', 'PROPN']",['PERSON'],1,1,2,1
US1658406A,1928-02-07,Assighoe,['assighoe'],"[('Assighoe', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1658527A,1928-02-07,kelley,['kelley'],"[('kelley', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1658592A,1924-03-03,Radioantenna,['radioantenna'],"[('Radioantenna', 'NN')]",['PROPN'],['PERSON'],1,1,2,1
US1658761A,1926-06-07,Radioantenna,['radioantenna'],"[('Radioantenna', 'NN')]",['PROPN'],['PERSON'],1,1,2,1
US1658987A,1928-02-14,Assighos,['assighos'],"[('Assighos', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1659474A,1928-02-14,siemann,['siemann'],"[('siemann', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1660023A,1928-02-21,Wallace c,"['wallace', 'c']","[('Wallace', 'NNP'), ('c', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1660178A,1928-02-21,Albert rothmann,"['albert', 'rothmann']","[('Albert', 'NNP'), ('rothmann', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1661277A,1928-03-06,thomas,['thomas'],"[('thomas', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1661399A,1928-03-06,William wishart,"['william', 'wishart']","[('William', 'NNP'), ('wishart', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1661526A,1928-03-06,Dustbie aktiengesellschaet,"['dustbie', 'aktiengesellschaet']","[('Dustbie', 'NNP'), ('aktiengesellschaet', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1661586A,1928-03-06,Contbol mechanism,"['contbol', 'mechanism']","[('Contbol', 'NN'), ('mechanism', 'NN')]","['NOUN', 'NOUN']",['PERSON'],0,1,2,1
US1662074A,1928-03-13,William mcmeans,"['william', 'mcmeans']","[('William', 'NNP'), ('mcmeans', 'NNS')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1662436A,1928-03-13,peiler,['peiler'],"[('peiler', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1662695A,1928-03-13,Frederick w,"['frederick', 'w']","[('Frederick', 'NNP'), ('w', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1662702A,1928-03-13,Begaoteb,['begaoteb'],"[('Begaoteb', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1662872A,1928-03-20,Sidney thornley,"['sidney', 'thornley']","[('Sidney', 'NNP'), ('thornley', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1662903A,1928-03-20,os brooklyn,"['os', 'brooklyn']","[('os', 'NN'), ('brooklyn', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1663110A,1928-03-20,Radioreceiver,['radioreceiver'],"[('Radioreceiver', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1663128A,1928-03-20,Assighos,['assighos'],"[('Assighos', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1663239A,1928-03-20,Frederick a,"['frederick', 'a']","[('Frederick', 'NNP'), ('a', 'DT')]","['PROPN', 'PRON']",['PERSON'],1,1,2,1
US1664128A,1928-03-27,mobgan,['mobgan'],"[('mobgan', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1664185A,1928-03-27,Thomas h,"['thomas', 'h']","[('Thomas', 'NNP'), ('h', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1664211A,1928-03-27,kanna,['kanna'],"[('kanna', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1664649A,1928-04-03,van ackeren,"['van', 'ackeren']","[('van', 'NN'), ('ackeren', 'NNS')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1664859A,1928-04-03,Diamond poweb,"['diamond', 'poweb']","[('Diamond', 'NNP'), ('poweb', 'NN')]","['NOUN', 'NOUN']",['PERSON'],0,1,2,1
US1665105A,1928-04-03,Robert mezger,"['robert', 'mezger']","[('Robert', 'NNP'), ('mezger', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1665255A,1928-04-10,davis,['davis'],"[('davis', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1665427A,1928-04-10,von reis,"['von', 'reis']","[('von', 'NN'), ('reis', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1665501A,1928-04-10,Ampli,['ampli'],"[('Ampli', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1665543A,1928-04-10,Shoehe,['shoehe'],"[('Shoehe', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1665574A,1928-04-10,William h,"['william', 'h']","[('William', 'NNP'), ('h', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1665859A,1928-04-10,Johann oesch,"['johann', 'oesch']","[('Johann', 'NNP'), ('oesch', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1665881A,1928-04-10,Eugen hutzenlaub,"['eugen', 'hutzenlaub']","[('Eugen', 'NNP'), ('hutzenlaub', 'NN')]","['NOUN', 'NOUN']",['PERSON'],0,1,2,1
US1665910A,1928-04-10,Phil c,"['phil', 'c']","[('Phil', 'NNP'), ('c', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1666385A,1928-04-17,jensen,['jensen'],"[('jensen', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1666618A,1928-04-17,Albin carlson,"['albin', 'carlson']","[('Albin', 'NNP'), ('carlson', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1666711A,1928-04-17,macdonald,['macdonald'],"[('macdonald', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1666771A,1928-04-17,Joseph h,"['joseph', 'h']","[('Joseph', 'NNP'), ('h', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1666947A,1928-04-24,Hakold c,"['hakold', 'c']","[('Hakold', 'NNP'), ('c', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1666981A,1928-04-24,Bertha w,"['bertha', 'w']","[('Bertha', 'NNP'), ('w', 'NN')]","['PROPN', 'X']",['PERSON'],1,1,2,1
US1667089A,1928-04-24,Frank umbriaco,"['frank', 'umbriaco']","[('Frank', 'NNP'), ('umbriaco', 'NN')]","['PROPN', 'ADJ']",['PERSON'],1,1,2,1
US1667917A,1928-05-01,Cobposatji,['cobposatji'],"[('Cobposatji', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1667981A,1928-05-01,Meteb box,"['meteb', 'box']","[('Meteb', 'NNP'), ('box', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1668086A,1928-05-01,Paux qrzei,"['paux', 'qrzei']","[('Paux', 'NNP'), ('qrzei', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1668521A,1928-05-01,zubaty,['zubaty'],"[('zubaty', 'NN')]",['VERB'],['PERSON'],0,1,1,1
US1668952A,1928-05-08,Said ellis,"['said', 'ellis']","[('Said', 'NNP'), ('ellis', 'NN')]","['VERB', 'PROPN']",['PERSON'],1,1,2,1
US1669410A,1928-05-15,calestini,['calestini'],"[('calestini', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1669985A,1928-05-15,la brie,"['la', 'brie']","[('la', 'NN'), ('brie', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1670371A,1928-05-22,massey,['massey'],"[('massey', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1670515A,1928-05-22,George langford,"['george', 'langford']","[('George', 'NNP'), ('langford', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1670592A,1928-05-22,Josef mettler,"['josef', 'mettler']","[('Josef', 'NNP'), ('mettler', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
