patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US1657622A,1928-01-31,A common-law ,"['A', 'common-law']","[('A', 'DT'), ('common-law', 'NN')]","['DET', 'ADJ', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US1657696A,1928-01-31,A cobpobation ,"['A', 'cobpobation']","[('A', 'DT'), ('cobpobation', 'NN')]","['DET', 'NOUN']",[],0,0,2,0,1
US1657712A,1928-01-31,A corpora ,"['A', 'corpora']","[('A', 'DT'), ('corpora', 'NN')]","['DET', 'X']",[],0,0,2,0,1
US1657826A,1928-01-31,To albebt l ,"['To', 'albebt', 'l']","[('To', 'TO'), ('albebt', 'VB'), ('l', 'NN')]","['ADP', 'VERB', 'NOUN']",[],0,0,3,0,1
US1657935A,1928-01-31,A avaii aq ,"['A', 'avaii', 'aq']","[('A', 'DT'), ('avaii', 'NN'), ('aq', 'NN')]","['DET', 'NOUN', 'ADP']",[],0,0,3,0,1
US1658467A,1928-02-07,of mannheim ,"['of', 'mannheim']","[('of', 'IN'), ('mannheim', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1658796A,1923-09-13,"By-product coke oven and method of operating same 
     ","['By-product', 'coke', 'oven', 'and', 'method', 'of', 'operating', 'same']","[('By-product', 'NNP'), ('coke', 'VBD'), ('oven', 'RB'), ('and', 'CC'), ('method', 'NN'), ('of', 'IN'), ('operating', 'NN'), ('same', 'JJ')]","['ADP', 'PUNCT', 'NOUN', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'ADJ', 'SPACE']",[],0,0,11,0,1
US1659088A,1928-02-14,And one ,"['And', 'one']","[('And', 'CC'), ('one', 'CD')]","['CCONJ', 'NUM']",['CARDINAL'],0,0,2,0,1
US1659140A,1928-02-14,A cobpoba ,"['A', 'cobpoba']","[('A', 'DT'), ('cobpoba', 'NN')]","['DET', 'ADJ']",[],0,0,2,0,1
US1659304A,1928-02-14,A corpora ,"['A', 'corpora']","[('A', 'DT'), ('corpora', 'NN')]","['DET', 'X']",[],0,0,2,0,1
US1659357A,1928-02-14,A corpoba ,"['A', 'corpoba']","[('A', 'DT'), ('corpoba', 'NN')]","['DET', 'NOUN']",[],0,0,2,0,1
US1659358A,1928-02-14,A cobposatiost ,"['A', 'cobposatiost']","[('A', 'DT'), ('cobposatiost', 'NN')]","['DET', 'NOUN']",[],0,0,2,0,1
US1660148A,1928-02-21,A  coepobatiow ,"['A', 'coepobatiow']","[('A', 'DT'), ('coepobatiow', 'NN')]","['DET', 'SPACE', 'NOUN']",[],0,0,3,0,1
US1660299A,1928-02-21,A cobporation oe massa ,"['A', 'cobporation', 'oe', 'massa']","[('A', 'DT'), ('cobporation', 'NN'), ('oe', 'NN'), ('massa', 'NN')]","['DET', 'NOUN', 'INTJ', 'NOUN']",[],0,0,4,0,1
US1660800A,1928-02-28,of chaelotte ,"['of', 'chaelotte']","[('of', 'IN'), ('chaelotte', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1660937A,1928-02-28,A cobpobatioh ,"['A', 'cobpobatioh']","[('A', 'DT'), ('cobpobatioh', 'NN')]","['DET', 'NOUN']",[],0,0,2,0,1
US1661341A,1928-03-06,of wobcester ,"['of', 'wobcester']","[('of', 'IN'), ('wobcester', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1661488A,1928-03-06,of elgin ,"['of', 'elgin']","[('of', 'IN'), ('elgin', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1662244A,1928-03-13,A corpora ,"['A', 'corpora']","[('A', 'DT'), ('corpora', 'NN')]","['DET', 'X']",[],0,0,2,0,1
US1662462A,1924-11-01,"Fungicide 
     ",['Fungicide'],"[('Fungicide', 'NN')]","['ADP', 'SPACE']",[],0,0,2,0,1
US1662690A,1928-03-13,A corpora ,"['A', 'corpora']","[('A', 'DT'), ('corpora', 'NN')]","['DET', 'X']",[],0,0,2,0,1
US1663136A,1928-03-20,A corpora ,"['A', 'corpora']","[('A', 'DT'), ('corpora', 'NN')]","['DET', 'X']",[],0,0,2,0,1
US1663497A,1928-03-20,A cokpoeation of dela ,"['A', 'cokpoeation', 'of', 'dela']","[('A', 'DT'), ('cokpoeation', 'NN'), ('of', 'IN'), ('dela', 'NN')]","['DET', 'NOUN', 'ADP', 'NOUN']",[],0,0,4,0,1
US1663725A,1928-03-27,of blacklist ,"['of', 'blacklist']","[('of', 'IN'), ('blacklist', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1663790A,1928-03-27,A corpora ,"['A', 'corpora']","[('A', 'DT'), ('corpora', 'NN')]","['DET', 'X']",[],0,0,2,0,1
US1663899A,1928-03-27,A w jld ,"['A', 'w', 'jld']","[('A', 'DT'), ('w', 'NN'), ('jld', 'NN')]","['DET', 'NOUN', 'NOUN']",[],0,0,3,0,1
