patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens
US2700091A,1953-10-12,Flux,['PROPN'],[],1,0,2,['flux']
US2700215A,1950-05-23,Razor,['PROPN'],[],1,0,2,['razor']
US2700330A,1948-03-20,Cultivator,['PROPN'],[],1,0,2,['cultivator']
US2700665A,1955-01-25,Soanhj,['PROPN'],[],1,0,1,['soanhj']
US2700692A,1955-01-25,carleton,['PROPN'],[],1,0,1,['carleton']
US2700770A,1951-05-19,Glove,['PROPN'],[],1,0,2,['glove']
US2700820A,1952-01-24,Unseamer,['PROPN'],[],1,0,2,['unseamer']
US2700979A,1952-03-08,Crutch,['PROPN'],[],1,0,2,['crutch']
US2701080A,1955-02-01,franklin,['PROPN'],['ORG'],1,0,1,['franklin']
US2701132A,1951-08-30,Stirrer,['PROPN'],[],1,0,2,['stirrer']
US2701173A,1954-04-02,Aeroboard,['PROPN'],[],1,0,2,['aeroboard']
US2701189A,1953-07-08,Vaporizer,['PROPN'],[],1,0,2,['vaporizer']
US2701270A,1955-02-01,Moo izoo,"['PROPN', 'NOUN']",[],1,0,2,"['moo', 'izoo']"
US2701363A,1953-03-12,Slip,['PROPN'],[],1,0,2,['slip']
US2701381A,1948-04-05,Toothbrush,['PROPN'],[],1,0,2,['toothbrush']
US2701469A,1953-05-29,Viscometer,['PROPN'],[],1,0,2,['viscometer']
US2701546A,1951-03-31,Galvanizer,['PROPN'],[],1,0,2,['galvanizer']
US2701643A,1949-05-13,Hydroextractor,['PROPN'],[],1,0,2,['hydroextractor']
US2701814A,1955-02-08,Fluorocarbon compounds,"['PROPN', 'VERB']",[],1,0,2,"['fluorocarbon', 'compounds']"
US2701961A,1953-09-04,Osmometer,['PROPN'],[],1,0,2,['osmometer']
US2701982A,1953-03-26,Angenieux,['PROPN'],['ORG'],1,0,1,['angenieux']
US2702047A,1950-09-01,Manostat,['PROPN'],['ORG'],1,0,2,['manostat']
US2702088A,1951-08-31,Snowmobile,['PROPN'],[],1,0,2,['snowmobile']
US2702132A,1949-08-26,Destacker,['PROPN'],[],1,0,2,['destacker']
US2702212A,1955-02-15,Mcaneny,['PROPN'],['ORG'],1,0,1,['mcaneny']
US2702443A,1953-11-10,Mousetrap,['PROPN'],[],1,0,2,['mousetrap']
US2702446A,1952-06-04,Lap,['PROPN'],[],1,0,2,['lap']
US2702470A,1953-07-23,Freezemeter,['PROPN'],[],1,0,2,['freezemeter']
US2702584A,1954-02-15,Stool,['PROPN'],[],1,0,2,['stool']
US2702668A,1955-02-22,dustin,['PROPN'],[],1,0,2,['dustin']
US2702670A,1955-02-22,Campos,['PROPN'],[],1,0,1,['campos']
US2702682A,1951-04-23,Pallet,['PROPN'],[],1,0,2,['pallet']
US2702727A,1951-02-05,Trestle,['PROPN'],[],1,0,2,['trestle']
US2702844A,1952-05-02,Thermostat,['PROPN'],['GPE'],1,0,2,['thermostat']
US2702878A,1950-09-20,Condenser,['PROPN'],[],1,0,2,['condenser']
US2702914A,1950-11-04,Toothbrush,['PROPN'],[],1,0,2,['toothbrush']
US2703049A,1955-03-01,M bauer,"['PROPN', 'NOUN']",[],1,0,2,"['m', 'bauer']"
US2703449A,1952-04-03,Razor,['PROPN'],[],1,0,2,['razor']
US2703689A,1952-12-01,Bottleholder,['PROPN'],['GPE'],1,0,2,['bottleholder']
US2703832A,1952-09-19,Thermostat,['PROPN'],['GPE'],1,0,2,['thermostat']
US2703841A,1945-08-01,Antenna,['PROPN'],[],1,0,2,['antenna']
US2703975A,1954-08-20,Padlock,['PROPN'],[],1,0,2,['padlock']
US2703980A,1953-08-05,Dynamometer,['PROPN'],[],1,0,2,['dynamometer']
US2704009A,1950-05-01,Monocular,['PROPN'],[],1,0,2,['monocular']
US2704040A,1955-03-15,warrington,['PROPN'],[],1,0,1,['warrington']
US2704368A,1952-06-18,Scarves,['PROPN'],[],1,0,2,['scarves']
US2704452A,1955-03-22,Federn,['PROPN'],[],1,0,1,['federn']
US2704454A,1955-03-22,imiw attidg,"['PROPN', 'PROPN']",[],1,0,2,"['imiw', 'attidg']"
US2704476A,1955-03-22,Lisota,['PROPN'],['GPE'],1,0,1,['lisota']
US2704479A,1955-03-22,Stang,['PROPN'],['ORG'],1,0,1,['stang']
