patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US3800506A,1972-08-23,"Process 
       ","['PROPN', 'SPACE']",[],1,0,2
US3800581A,1971-08-24,"Fastener 
       ","['PROPN', 'SPACE']",[],1,0,2
US3800785A,1972-09-15,"Electromassager 
       ","['PROPN', 'SPACE']",[],1,0,2
US3801016A,1971-11-15,"Vaporizer 
       ","['PROPN', 'SPACE']",[],1,0,2
US3801260A,1973-02-22,"Igniter 
     ","['PROPN', 'SPACE']",[],1,0,2
US3801985A,1973-01-11,"Apron 
       ","['PROPN', 'SPACE']",['ORG'],1,0,2
US3802023A,1971-12-06,"Brush 
       ","['PROPN', 'SPACE']",[],1,0,2
US3802331A,1972-07-05,"Rotisserie 
       ","['PROPN', 'SPACE']",[],1,0,2
US3803345A,1973-03-12,"Crossarm 
     ","['PROPN', 'SPACE']",[],1,0,2
US3804030A,1972-06-26,"Palette 
       ","['PROPN', 'SPACE']",['GPE'],1,0,2
US3804081A,1971-07-29,"Endoscope 
       ","['PROPN', 'SPACE']",[],1,0,2
US3804117A,1971-04-21,"Faucet 
       ","['PROPN', 'SPACE']",[],1,0,2
US3804879A,1971-02-12,"Pgf3alpha 
     ","['PROPN', 'SPACE']",[],1,0,2
US3805119A,1970-09-29,"Superconductor 
       ","['PROPN', 'SPACE']",[],1,0,2
US3805296A,1972-10-26,"Outergarment 
       ","['PROPN', 'SPACE']",[],1,0,2
US3805512A,1972-03-15,"Timepiece 
       ","['PROPN', 'SPACE']",[],1,0,2
US3805532B1,1970-12-21,,['PROPN'],['GPE'],1,0,1
US3805703A,1967-08-21,"Fuze 
       ","['PROPN', 'SPACE']",[],1,0,2
US3807307A,1973-07-05,"Projectile 
       ","['PROPN', 'SPACE']",[],1,0,2
US3807656A,1972-01-24,"Airlock 
       ","['PROPN', 'SPACE']",[],1,0,2
US3807675A,1971-07-09,"Fastener 
       ","['PROPN', 'SPACE']",[],1,0,2
US3807749A,1971-12-01,"Skiboggan 
       ","['PROPN', 'SPACE']",['ORG'],1,0,2
US3807798A,1972-09-01,"Harness 
       ","['PROPN', 'SPACE']",[],1,0,2
US3807910A,1972-05-03,"Compressor 
       ","['PROPN', 'SPACE']",[],1,0,2
US3808116A,1970-03-05,"Polarography 
     ","['PROPN', 'SPACE']",[],1,0,2
US3808893A,1971-07-30,"Densimeter 
       ","['PROPN', 'SPACE']",[],1,0,2
US3809101B1,1972-11-10,,['PROPN'],['GPE'],1,0,1
US3809950A,1972-02-18,"Magnetron 
       ","['PROPN', 'SPACE']",['ORG'],1,0,2
US3810411A,1967-05-12,"Baton 
       ","['PROPN', 'SPACE']",[],1,0,2
US3810456A,1972-04-03,"Abortifacient 
       ","['PROPN', 'SPACE']",[],1,0,2
US3811464A,1970-04-02,"Ballcock 
       ","['PROPN', 'SPACE']",[],1,0,2
US3811536A,1972-07-24,"Chock 
       ","['PROPN', 'SPACE']",[],1,0,2
US3811566A,1972-01-24,"Tray 
       ","['PROPN', 'SPACE']",[],1,0,2
US3811712A,1972-05-09,"Adapter 
       ","['PROPN', 'SPACE']",[],1,0,2
US3811830B1,1971-04-05,,['PROPN'],['GPE'],1,0,1
US3812162A,1970-09-29,"Azides 
       ","['PROPN', 'SPACE']",[],1,0,2
US3812206A,1972-01-31,"Polyfluoropolymers 
       ","['PROPN', 'SPACE']",[],1,0,2
US3812556A,1972-10-10,"Fastener 
       ","['PROPN', 'SPACE']",[],1,0,2
US3813630A,1973-05-21,"Thermostat 
       ","['PROPN', 'SPACE']",['GPE'],1,0,2
US3813734A,1972-11-03,"Buckle 
       ","['PROPN', 'SPACE']",[],1,0,2
US3815213B1,1970-08-03,,['PROPN'],['GPE'],1,0,1
US3815491A,1971-11-22,"Cooker 
       ","['PROPN', 'SPACE']",[],1,0,2
US3815531B1,1973-05-29,,['PROPN'],['GPE'],1,0,1
US3816491A,1973-02-02,"Hexamethyltungsten 
     ","['PROPN', 'SPACE']",[],1,0,2
US3816883A,1973-01-04,"Fastener 
       ","['PROPN', 'SPACE']",[],1,0,2
US3817022A,1972-12-19,"Clock 
       ","['PROPN', 'SPACE']",[],1,0,2
US3817143A,1972-06-14,"Edger 
       ","['PROPN', 'SPACE']",[],1,0,2
US3817339A,1973-01-12,"Underreamer 
       ","['PROPN', 'SPACE']",[],1,0,2
US3817545A,1972-09-08,"Vehicle 
       ","['PROPN', 'SPACE']",[],1,0,2
US3818218A,1971-09-30,"Lantern 
       ","['PROPN', 'SPACE']",[],1,0,2
US3818534A,1972-03-30,"Brush 
       ","['PROPN', 'SPACE']",[],1,0,2
US3818634A,1971-08-09,"Tray 
       ","['PROPN', 'SPACE']",[],1,0,2
US3818672A,1972-01-27,"Gusset 
       ","['PROPN', 'SPACE']",[],1,0,2
US3818866A,1967-08-28,"Milker 
       ","['PROPN', 'SPACE']",[],1,0,2
US3819924A,1973-04-30,"Lamp 
       ","['PROPN', 'SPACE']",[],1,0,2
US3820178B1,1970-08-31,,['PROPN'],['GPE'],1,0,1
US3820292B1,1970-10-27,,['PROPN'],['GPE'],1,0,1
US3820395A,1972-05-01,"Flowmeter 
     ","['PROPN', 'SPACE']",[],1,0,2
US3820400A,1973-02-20,"Seal 
     ","['PROPN', 'SPACE']",[],1,0,2
US3820490A,1972-03-02,"Watercraft 
     ","['PROPN', 'SPACE']",[],1,0,2
US3820495A,1973-02-07,"Fender 
     ","['PROPN', 'SPACE']",[],1,0,2
US3820566A,1971-09-07,"Ventilator 
     ","['PROPN', 'SPACE']",[],1,0,2
US3820633A,1971-12-06,"Hoist 
     ","['PROPN', 'SPACE']",[],1,0,2
US3820928B1,1964-12-29,,['PROPN'],['GPE'],1,0,1
US3821522A,1972-11-24,"Counter 
     ","['PROPN', 'SPACE']",[],1,0,2
US3821540A,1972-09-29,"Lantern 
     ","['PROPN', 'SPACE']",[],1,0,2
US3821969A,1972-05-31,"Plug 
       ","['PROPN', 'SPACE']",[],1,0,2
US3822628A,1973-04-16,"Violin 
       ","['PROPN', 'SPACE']",[],1,0,2
US3822664A,1971-02-08,"Anchor 
       ","['PROPN', 'SPACE']",[],1,0,2
