patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens
US2800031A,1954-03-10,Pulley,['PROPN'],['GPE'],1,0,2,['pulley']
US2800140A,1952-12-15,Faucet,['PROPN'],[],1,0,2,['faucet']
US2800296A,1954-10-14,Turbine,['PROPN'],[],1,0,2,['turbine']
US2800495A,1955-03-24,Xenyltricresoxysilane,['PROPN'],['GPE'],1,0,2,['xenyltricresoxysilane']
US2800666A,1956-01-12,Floater,['PROPN'],[],1,0,2,['floater']
US2800792A,1954-03-24,Dynamometer,['PROPN'],[],1,0,2,['dynamometer']
US2800890A,1956-03-07,Slingshot,['PROPN'],[],1,0,2,['slingshot']
US2800905A,1955-04-25,Bag,['PROPN'],[],1,0,2,['bag']
US2801047A,1957-07-30,landsiedel,['PROPN'],[],1,0,1,['landsiedel']
US2801131A,1957-07-30,Gauthier,['PROPN'],[],1,0,1,['gauthier']
US2801139A,1955-02-07,Piston,['PROPN'],['GPE'],1,0,2,['piston']
US2801304A,1957-07-30,winkley,['PROPN'],[],1,0,1,['winkley']
US2801493A,1956-07-25,Trap,['PROPN'],[],1,0,2,['trap']
US2801585A,1954-03-25,Squib,['PROPN'],['PRODUCT'],1,0,2,['squib']
US2801686A,1957-08-06,H flynn,"['PROPN', 'NOUN']",[],1,0,2,"['h', 'flynn']"
US2801785A,1953-07-30,Box,['PROPN'],[],1,0,2,['box']
US2801805A,1957-08-06,Method,['PROPN'],[],1,0,1,['method']
US2802090A,1955-01-13,Vaporizer,['PROPN'],[],1,0,2,['vaporizer']
US2802279A,1946-04-19,Gyrocompass,['PROPN'],[],1,0,2,['gyrocompass']
US2802367A,1953-04-08,Pulley,['PROPN'],['GPE'],1,0,2,['pulley']
US2802469A,1954-09-27,Binder,['PROPN'],[],1,0,2,['binder']
US2802677A,1957-08-13,forsyth,['PROPN'],[],1,0,2,['forsyth']
US2802707A,1954-08-10,Piston,['PROPN'],['GPE'],1,0,2,['piston']
US2802708A,1954-12-20,Piston,['PROPN'],['GPE'],1,0,2,['piston']
US2802988A,1957-08-13,J knudsen,"['PROPN', 'PROPN']",[],1,0,2,"['j', 'knudsen']"
US2803011A,1956-06-22,Antenna,['PROPN'],[],1,0,2,['antenna']
US2803048A,1953-11-09,Fastener,['PROPN'],[],1,0,2,['fastener']
US2803159A,1954-09-14,Arbor,['PROPN'],[],1,0,2,['arbor']
US2803186A,1953-05-28,Baler,['PROPN'],[],1,0,2,['baler']
US2803396A,1954-09-29,Compressor,['PROPN'],[],1,0,2,['compressor']
US2803478A,1956-12-20,Fastener,['PROPN'],[],1,0,2,['fastener']
US2803800A,1957-08-20,Vilbig,['PROPN'],[],1,0,1,['vilbig']
US2803802A,1957-08-20,Xoint,['PROPN'],['ORG'],1,0,1,['xoint']
US2803815A,1957-08-20,wulfsberg,['PROPN'],[],1,0,1,['wulfsberg']
US2803816A,1957-08-20,Alden,['PROPN'],['GPE'],1,0,1,['alden']
US2803831A,1956-03-26,Handkerchief,['PROPN'],[],1,0,2,['handkerchief']
US2803992A,1957-08-27,baboz,['PROPN'],[],1,0,1,['baboz']
US2804210A,1957-08-27,shaughnessy,['PROPN'],[],1,0,2,['shaughnessy']
US2804276A,1955-06-23,Kite,['PROPN'],[],1,0,2,['kite']
US2804307A,1953-11-16,Phonographs,['PROPN'],[],1,0,2,['phonographs']
US2804528A,1954-04-09,Rheostat,['PROPN'],[],1,0,2,['rheostat']
US2804531A,1952-10-30,Range,['PROPN'],[],1,0,2,['range']
US2804629A,1954-07-12,Bathtub,['PROPN'],[],1,0,2,['bathtub']
US2805062A,1954-10-22,Hurdle,['PROPN'],[],1,0,2,['hurdle']
US2805137A,1957-09-03,nan,['PROPN'],['GPE'],1,0,1,['nan']
US2805372A,1953-06-08,Condenser,['PROPN'],[],1,0,2,['condenser']
US2805455A,1957-09-10,whitesell,['PROPN'],[],1,0,1,['whitesell']
US2805570A,1954-04-30,Viscometer,['PROPN'],[],1,0,2,['viscometer']
US2805716A,1952-08-08,Perforator,['PROPN'],[],1,0,2,['perforator']
US2805922A,1951-09-25,Saturator,['PROPN'],[],1,0,2,['saturator']
US2806222A,1955-08-10,Scarf,['PROPN'],[],1,0,2,['scarf']
US2806572A,1955-07-26,Planter,['PROPN'],[],1,0,2,['planter']
US2806606A,1951-11-01,Bookshelf,['PROPN'],[],1,0,2,['bookshelf']
US2806678A,1954-12-08,Blender,['PROPN'],[],1,0,2,['blender']
US2806751A,1954-12-03,Piston,['PROPN'],['GPE'],1,0,2,['piston']
US2806866A,1957-09-17,Hoocxcfcix,['PROPN'],[],1,0,2,['hoocxcfcix']
US2806917A,1955-12-21,Governor,['PROPN'],[],1,0,2,['governor']
US2806923A,1956-01-03,Thermostat,['PROPN'],['GPE'],1,0,2,['thermostat']
US2806932A,1955-03-02,Vaporizer,['PROPN'],[],1,0,2,['vaporizer']
US2807033A,1956-02-06,Mattress,['PROPN'],[],1,0,2,['mattress']
US2807162A,1954-05-21,Tensiometer,['PROPN'],[],1,0,2,['tensiometer']
US2807976A,1955-10-11,Refractometer,['PROPN'],[],1,0,2,['refractometer']
US2808091A,1955-01-11,Bag,['PROPN'],[],1,0,2,['bag']
US2808181A,1954-06-01,Planter,['PROPN'],[],1,0,2,['planter']
US2808207A,1954-04-02,Register,['PROPN'],[],1,0,2,['register']
US2808568A,1954-03-31,Magnetron,['PROPN'],['ORG'],1,0,2,['magnetron']
US2809001A,1954-06-07,Hanger,['PROPN'],[],1,0,2,['hanger']
US2809069A,1955-05-31,Gambrel,['PROPN'],[],1,0,2,['gambrel']
US2809218A,1957-10-08,Ohach,['PROPN'],[],1,0,1,['ohach']
US2809386A,1954-12-06,Toothbrush,['PROPN'],[],1,0,2,['toothbrush']
US2809410A,1954-07-19,Fastener,['PROPN'],[],1,0,2,['fastener']
US2809447A,1954-03-12,Atlas,['PROPN'],[],1,0,2,['atlas']
US2809517A,1955-08-29,Dynamometer,['PROPN'],[],1,0,2,['dynamometer']
US2809579A,1954-06-07,Rotisserie,['PROPN'],[],1,0,2,['rotisserie']
US2809961A,1957-10-15,L callahan,"['NOUN', 'PROPN']",[],1,0,2,"['l', 'callahan']"
US2810045A,1956-02-07,Thermostat,['PROPN'],['GPE'],1,0,2,['thermostat']
US2810465A,1957-10-22,miller,['PROPN'],['ORG'],1,0,2,['miller']
US2810623A,1957-10-22,kropp,['PROPN'],['ORG'],1,0,2,['kropp']
US2810705A,1957-10-22,Uilllc,['PROPN'],['GPE'],1,0,1,['uilllc']
US2810833A,1955-01-25,Tuner,['PROPN'],[],1,0,2,['tuner']
US2810886A,1953-10-23,Duplexer,['PROPN'],[],1,0,2,['duplexer']
US2810920A,1955-05-09,Mattress,['PROPN'],[],1,0,2,['mattress']
US2811099A,1956-05-15,Rotisserie,['PROPN'],[],1,0,2,['rotisserie']
US2811152A,1955-02-21,Utensil,['PROPN'],['GPE'],1,0,2,['utensil']
US2811153A,1954-03-25,Diaphragm,['PROPN'],['GPE'],1,0,2,['diaphragm']
US2811174A,1957-10-29,vetter,['PROPN'],[],1,0,1,['vetter']
US2811198A,1956-10-19,Slipcover,['PROPN'],[],1,0,2,['slipcover']
US2811245A,1956-02-06,Ashtray,['PROPN'],[],1,0,2,['ashtray']
US2811265A,1956-02-07,Loader,['PROPN'],[],1,0,2,['loader']
US2811327A,1954-12-01,Kite,['PROPN'],[],1,0,2,['kite']
US2811430A,1955-04-25,Abrasives,['PROPN'],[],1,0,2,['abrasives']
US2811561A,1957-10-29,Hjc chi,"['PROPN', 'NOUN']",[],1,0,2,"['hjc', 'chi']"
US2812094A,1957-11-05,o brien,"['X', 'PROPN']",[],1,0,2,"['o', 'brien']"
US2812138A,1957-11-05,malavazos,['PROPN'],[],1,0,1,['malavazos']
US2812180A,1955-10-03,Springboard,['PROPN'],[],1,0,2,['springboard']
US2812656A,1954-01-25,Viscometer,['PROPN'],[],1,0,2,['viscometer']
US2812683A,1955-03-01,Baton,['PROPN'],[],1,0,2,['baton']
US2812972A,1955-02-28,Grapple,['PROPN'],[],1,0,2,['grapple']
US2813290A,1954-08-10,Toothbrush,['PROPN'],[],1,0,2,['toothbrush']
US2813417A,1956-11-07,Padlock,['PROPN'],[],1,0,2,['padlock']
US2813426A,1950-06-28,Thermostat,['PROPN'],['GPE'],1,0,2,['thermostat']
US2813458A,1952-09-18,Magnifier,['PROPN'],[],1,0,2,['magnifier']
US2813533A,1956-03-26,Barrette,['PROPN'],[],1,0,2,['barrette']
US2813628A,1957-11-19,klaus,['PROPN'],[],1,0,1,['klaus']
US2813640A,1956-04-18,Unloader,['PROPN'],[],1,0,2,['unloader']
US2814061A,1955-08-10,Brush,['PROPN'],[],1,0,2,['brush']
US2814160A,1956-02-07,Toy,['PROPN'],[],1,0,2,['toy']
US2814431A,1954-09-29,Compressor,['PROPN'],[],1,0,2,['compressor']
US2814434A,1952-11-07,Diffuser,['PROPN'],[],1,0,2,['diffuser']
US2814444A,1953-12-14,Register,['PROPN'],[],1,0,2,['register']
US2814494A,1952-09-25,Phonographs,['PROPN'],[],1,0,2,['phonographs']
US2814695A,1955-04-08,Range,['PROPN'],[],1,0,2,['range']
US2814956A,1951-09-07,Phonographs,['PROPN'],[],1,0,2,['phonographs']
US2815024A,1955-08-30,Ampule,['PROPN'],[],1,0,2,['ampule']
US2815088A,1955-12-21,Muffler,['PROPN'],['NORP'],1,0,2,['muffler']
US2815165A,1954-12-03,Bag,['PROPN'],[],1,0,2,['bag']
US2815417A,1956-03-15,Thermostat,['PROPN'],['GPE'],1,0,2,['thermostat']
US2815770A,1954-05-11,Diffuser,['PROPN'],[],1,0,2,['diffuser']
US2815992A,1955-07-14,Piston,['PROPN'],['GPE'],1,0,2,['piston']
US2816143A,1957-12-10,Probst,['PROPN'],[],1,0,1,['probst']
