patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,is_inventor
US2801806A,1957-08-06,Taylor,['PROPN'],['PERSON'],1,1,1,['taylor'],1
US2803968A,1957-08-27,van tilburg,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['van', 'tilburg']",1
US2804626A,1955-05-17,Scarfs,['PROPN'],['PERSON'],1,1,2,['scarfs'],1
US2805748A,1957-09-10,James h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['james', 'h']",1
US2806693A,1957-09-17,Dispensing machine,"['VERB', 'NOUN']",['PERSON'],0,1,2,"['dispensing', 'machine']",1
US2809408A,1953-05-26,Buckles,['NOUN'],['PERSON'],0,1,2,['buckles'],1
US2811520A,1957-10-29,Immodibenzyl compounds,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['immodibenzyl', 'compounds']",1
US2812906A,1957-11-12,reppert,['VERB'],['PERSON'],0,1,1,['reppert'],1
US2813016A,1957-11-12,Najsos,['INTJ'],['PERSON'],0,1,1,['najsos'],1
US2814683A,1957-11-26,Wharton,['PROPN'],['PERSON'],1,1,1,['wharton'],1
US2815911A,1957-12-10,mcmullin,['PROPN'],['PERSON'],1,1,1,['mcmullin'],1
US2816117A,1957-12-10,Chi ch,"['NOUN', 'NOUN']",['PERSON'],0,1,2,"['chi', 'ch']",1
US2817422A,1955-02-21,Struts,['NOUN'],['PERSON'],0,1,2,['struts'],1
US2819672A,1958-01-14,Eckhard,['PROPN'],['PERSON'],1,1,1,['eckhard'],1
US2821342A,1958-01-28,Capellaro,['NOUN'],['PERSON'],0,1,1,['capellaro'],1
US2826094A,1958-03-11,johnson,['PROPN'],['PERSON'],1,1,1,['johnson'],1
US2826366A,1958-03-11,Capellaro,['NOUN'],['PERSON'],0,1,1,['capellaro'],1
US2828307A,1958-03-25,Karl h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['karl', 'h']",1
US2828522A,1953-07-30,Buckles,['NOUN'],['PERSON'],0,1,2,['buckles'],1
US2829174A,1958-04-01,Halopentenoxy,['PROPN'],['PERSON'],1,1,1,['halopentenoxy'],1
US2830941A,1958-04-15,mehltretter,['VERB'],['PERSON'],0,1,2,['mehltretter'],1
US2831785A,1958-04-22,Jfzgz,['PROPN'],['PERSON'],1,1,1,['jfzgz'],1
US2831787A,1954-07-27,Emeis,['NOUN'],['PERSON'],0,1,1,['emeis'],1
US2836094A,1958-05-27,Amberg,['PROPN'],['PERSON'],1,1,1,['amberg'],1
US2836255A,1954-12-28,Reichardt,['NOUN'],['PERSON'],0,1,1,['reichardt'],1
US2838066A,1958-06-10,Harris,['PROPN'],['PERSON'],1,1,1,['harris'],1
US2838231A,1958-06-10,Automati,['PROPN'],['PERSON'],1,1,1,['automati'],1
US2838520A,1958-06-10,Karl h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['karl', 'h']",1
US2839064A,1958-06-17,haskin,['NOUN'],['PERSON'],0,1,1,['haskin'],1
US2840193A,1958-06-24,Mann etai,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['mann', 'etai']",1
US2842310A,1958-07-08,matthew,['PROPN'],['PERSON'],1,1,2,['matthew'],1
US2842665A,1958-07-08,Hopfer,['VERB'],['PERSON'],0,1,1,['hopfer'],1
US2842786A,1952-01-29,Bridges,['NOUN'],['PERSON'],0,1,2,['bridges'],1
US2845734A,1955-06-03,J brady,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['j', 'brady']",1
US2847873A,1958-08-19,woodson,['VERB'],['PERSON'],0,1,1,['woodson'],1
US2848502A,1958-08-19,Karl h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['karl', 'h']",1
US2849179A,1958-08-26,Capellaro,['NOUN'],['PERSON'],0,1,1,['capellaro'],1
US2854851A,1958-10-07,Gyroscope instruments,"['NOUN', 'NOUN']",['PERSON'],0,1,2,"['gyroscope', 'instruments']",1
US2855149A,1958-10-07,John h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['john', 'h']",1
US2858301A,1958-10-28,Coona,['NOUN'],['PERSON'],0,1,1,['coona'],1
US2859102A,1958-11-04,brummett,['PROPN'],['PERSON'],1,1,1,['brummett'],1
US2859103A,1958-11-04,Greco,['PROPN'],['PERSON'],1,1,1,['greco'],1
US2861763A,1958-11-25,tidwell,['PROPN'],['PERSON'],1,1,1,['tidwell'],1
US2862514A,1954-07-20,Ballcocks,['NOUN'],['PERSON'],0,1,2,['ballcocks'],1
US2865002A,1958-12-16,triplett,['NOUN'],['PERSON'],0,1,1,['triplett'],1
US2865671A,1958-12-23,jensen,['PROPN'],['PERSON'],1,1,2,['jensen'],1
US2868690A,1959-01-13,Propargyl barbiturates,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['propargyl', 'barbiturates']",1
US2868848A,1959-01-13,Hennig,['PROPN'],['PERSON'],1,1,1,['hennig'],1
US2870461A,1959-01-27,rosenthal,['PROPN'],['PERSON'],1,1,2,['rosenthal'],1
US2871445A,1959-01-27,Daniel h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['daniel', 'h']",1
US2871791A,1959-02-03,litzenberg,['VERB'],['PERSON'],0,1,1,['litzenberg'],1
US2875851A,1959-03-03,Vakos,['PROPN'],['PERSON'],1,1,1,['vakos'],1
