patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens
US500013A,1893-06-20,Kowski,['PROPN'],[],1,0,1,['kowski']
US500014A,1893-06-20,Nathan lazarus,"['PROPN', 'PROPN']",[],1,0,2,"['nathan', 'lazarus']"
US500061A,1893-06-20,Smith,['PROPN'],[],1,0,1,['smith']
US500072A,1893-06-20,August lindquist,"['PROPN', 'NOUN']",['DATE'],1,0,2,"['august', 'lindquist']"
US500073A,1893-06-20,Charles john,"['PROPN', 'PROPN']",[],1,0,2,"['charles', 'john']"
US500101A,1893-06-20,Benjamin f,"['PROPN', 'X']",[],1,0,2,"['benjamin', 'f']"
US500119A,1893-06-27,Ferdinand dieckmann,"['PROPN', 'VERB']",['ORG'],1,0,2,"['ferdinand', 'dieckmann']"
US500134A,1893-06-27,Moccasin,['PROPN'],['ORG'],1,0,1,['moccasin']
US500140A,1893-06-27,Gustav kruger,"['PROPN', 'PROPN']",['ORG'],1,0,2,"['gustav', 'kruger']"
US500174A,1893-06-27,Chusetts,['PROPN'],['NORP'],1,0,1,['chusetts']
US500175A,1893-06-27,whitejuey,['PROPN'],[],1,0,2,['whitejuey']
US500176A,1893-06-27,Headlight,['PROPN'],[],1,0,1,['headlight']
US500187A,1893-06-27,Abraham bruegger,"['PROPN', 'ADJ']",[],1,0,2,"['abraham', 'bruegger']"
US500196A,1893-06-27,Condenser,['PROPN'],[],1,0,1,['condenser']
US500226A,1893-06-27,cuttriss,['PROPN'],[],1,0,1,['cuttriss']
US500229A,1893-06-27,Ernst egger,"['PROPN', 'NOUN']",[],1,0,2,"['ernst', 'egger']"
US500241A,1893-06-27,Abel pifre,"['PROPN', 'VERB']",[],1,0,2,"['abel', 'pifre']"
US500245A,1893-06-27,sprunt,['PROPN'],[],1,0,1,['sprunt']
US500253A,1893-06-27,Revolving harrow,"['PROPN', 'NOUN']",[],1,0,2,"['revolving', 'harrow']"
US500272A,1893-06-27,Sidney z,"['PROPN', 'NOUN']",[],1,0,2,"['sidney', 'z']"
US500275A,1893-06-27,Gustav segschneider,"['PROPN', 'NOUN']",['ORG'],1,0,2,"['gustav', 'segschneider']"
US500286A,1893-06-27,lewis,['PROPN'],[],1,0,1,['lewis']
US500304A,1893-06-27,swift,['PROPN'],[],1,0,2,['swift']
US500310A,1893-06-27,Mirror,['PROPN'],[],1,0,1,['mirror']
US500313A,1893-06-27,Bernard m,"['PROPN', 'VERB']",[],1,0,2,"['bernard', 'm']"
US500322A,1893-06-27,dronsfield,['PROPN'],[],1,0,1,['dronsfield']
US500341A,1893-06-27,Klitho,['PROPN'],['GPE'],1,0,1,['klitho']
US500342A,1893-06-27,Benjamin mayer,"['PROPN', 'X']",[],1,0,2,"['benjamin', 'mayer']"
US500343A,1893-06-27,monroe,['PROPN'],[],1,0,2,['monroe']
US500348A,1893-06-27,Hatjgh parsons,"['PROPN', 'NOUN']",['FAC'],1,0,2,"['hatjgh', 'parsons']"
US500359A,1893-06-27,August utzinger,"['PROPN', 'NOUN']",['DATE'],1,0,2,"['august', 'utzinger']"
US500366A,1893-06-27,Jonathan e,"['PROPN', 'PROPN']",[],1,0,2,"['jonathan', 'e']"
US500390A,1893-06-27,heath,['PROPN'],[],1,0,2,['heath']
US500400A,1893-06-27,Philip lange,"['PROPN', 'VERB']",[],1,0,2,"['philip', 'lange']"
US500415A,1893-06-27,Lewis p,"['PROPN', 'NOUN']",[],1,0,2,"['lewis', 'p']"
US500418A,1893-06-27,Ewald over,"['PROPN', 'ADP']",[],1,0,2,"['ewald', 'over']"
US500428A,1893-06-27,Hungary,['PROPN'],['GPE'],1,0,1,['hungary']
US500435A,1893-06-27,Wristband,['PROPN'],['GPE'],1,0,1,['wristband']
US500468A,1893-06-27,Horace b,"['PROPN', 'PROPN']",[],1,0,2,"['horace', 'b']"
US500472A,1893-06-27,Saddle,['PROPN'],[],1,0,1,['saddle']
US500476A,1893-06-27,Benjamin f,"['PROPN', 'X']",[],1,0,2,"['benjamin', 'f']"
US500485A,1893-06-27,Hugo gallinowsky,"['PROPN', 'NOUN']",['EVENT'],1,0,2,"['hugo', 'gallinowsky']"
US500488A,1893-06-27,Simeon d,"['PROPN', 'PROPN']",[],1,0,2,"['simeon', 'd']"
US500492A,1893-06-27,Heinrich grossmann,"['PROPN', 'NOUN']",[],1,0,2,"['heinrich', 'grossmann']"
US500495A,1893-06-27,Alfonzo haskins,"['PROPN', 'VERB']",[],1,0,2,"['alfonzo', 'haskins']"
US500501A,1893-06-27,jennings,['PROPN'],[],1,0,1,['jennings']
US500502A,1893-06-27,lever,['PROPN'],[],1,0,1,['lever']
