patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings
US2101298A,1937-12-07,Calculator,['NOUN'],[],0,0,1,['calculator'],0
US2101898A,1937-12-14,Ornament,['ADJ'],[],0,0,1,['ornament'],0
US2102043A,1937-12-14,Counter,['INTJ'],[],0,0,1,['counter'],0
US2102293A,1937-12-14,Filter,['NOUN'],[],0,0,1,['filter'],0
US2103123A,1937-12-21,Annunciator,['NOUN'],[],0,0,1,['annunciator'],0
US2103857A,1937-12-28,lindsey,['NOUN'],[],0,0,1,['lindsey'],0
US2104994A,1938-01-11,hughes,['NOUN'],[],0,0,1,['hughes'],0
US2105523A,1938-01-18,denney,['NOUN'],[],0,0,1,['denney'],0
US2106138A,1938-01-18,Cxchz,['NOUN'],[],0,0,1,['cxchz'],0
US2108020A,1938-02-08,Dispenser,['NOUN'],[],0,0,1,['dispenser'],0
US2108923A,1938-02-22,mendelsohn,['VERB'],[],0,0,1,['mendelsohn'],0
US2109235A,1938-02-22,Radiation,['NOUN'],[],0,0,1,['radiation'],0
US2110648A,1938-03-08,ferguson,['VERB'],[],0,0,1,['ferguson'],0
US2110896A,1938-03-15,Insecticide,['ADJ'],[],0,0,1,['insecticide'],0
US2111701A,1938-03-22,straub,['INTJ'],[],0,0,1,['straub'],0
US2112663A,1938-03-29,Drain,['NOUN'],[],0,0,1,['drain'],0
US2114843A,1938-04-19,Xlubricants,['NOUN'],[],0,0,1,['xlubricants'],0
US2114848A,1938-04-19,Burner,['NOUN'],[],0,0,1,['burner'],0
US2116288A,1938-05-03,schoenbaum,['NOUN'],[],0,0,1,['schoenbaum'],0
US2116664A,1938-05-10,Recorder,['NOUN'],[],0,0,1,['recorder'],0
US2117931A,1938-05-17,chsbr,['NOUN'],[],0,0,1,['chsbr'],0
US2118752A,1938-05-24,Pamper,['NOUN'],[],0,0,1,['pamper'],0
US2118853A,1938-05-31,Transmission,['NOUN'],[],0,0,1,['transmission'],0
US2119228A,1938-05-31,flood,['NOUN'],[],0,0,1,['flood'],0
US2121824A,1938-06-28,Lubricants,['NOUN'],[],0,0,1,['lubricants'],0
US2123223A,1938-07-12,avars,['NOUN'],[],0,0,1,['avars'],0
US2124104A,1938-07-19,chatfield,['VERB'],['GPE'],0,0,1,['chatfield'],0
US2124400A,1938-07-19,Fungictoal,['NOUN'],['ORG'],0,0,1,['fungictoal'],0
US2124484A,1938-07-19,Damper,['NOUN'],['ORG'],0,0,1,['damper'],0
US2124686A,1938-07-26,Ketals,['NOUN'],[],0,0,1,['ketals'],0
US2124964A,1938-07-26,Chute,['VERB'],[],0,0,1,['chute'],0
US2125462A,1938-08-02,Detonator,['NOUN'],[],0,0,1,['detonator'],0
US2125509A,1938-08-02,Diazobiguanides,['NOUN'],[],0,0,1,['diazobiguanides'],0
US2125826A,1938-08-02,Typewriter,['NOUN'],[],0,0,1,['typewriter'],0
US2127897A,1938-08-23,watkins,['NOUN'],[],0,0,1,['watkins'],0
US2131754A,1938-10-04,Paper,['NOUN'],[],0,0,1,['paper'],0
US2132076A,1938-10-04,Fluos,['NOUN'],[],0,0,1,['fluos'],0
US2132338A,1938-10-04,ziebolz,['NOUN'],[],0,0,1,['ziebolz'],0
US2132910A,1938-10-11,Totalizator,['NOUN'],[],0,0,1,['totalizator'],0
US2133672A,1938-10-18,Refractory,['NOUN'],[],0,0,1,['refractory'],0
US2134176A,1938-10-25,Accordion,['NOUN'],[],0,0,1,['accordion'],0
US2134183A,1938-10-25,Calendar,['NOUN'],[],0,0,1,['calendar'],0
US2134764A,1938-11-01,Plasmc,['NOUN'],[],0,0,1,['plasmc'],0
US2137396A,1938-11-22,gladstone,['NOUN'],[],0,0,1,['gladstone'],0
US2137561A,1938-11-22,Valve,['VERB'],[],0,0,1,['valve'],0
US2138288A,1938-11-29,bailey,['NOUN'],[],0,0,1,['bailey'],0
US2138446A,1938-11-29,Valve,['VERB'],[],0,0,1,['valve'],0
US2138556A,1938-11-29,pierce,['VERB'],[],0,0,1,['pierce'],0
US2140882A,1938-12-20,cleaning,['VERB'],[],0,0,1,['cleaning'],0
US2141159A,1938-12-27,bergstrom,['VERB'],[],0,0,1,['bergstrom'],0
US2141581A,1938-12-27,Machine,['NOUN'],[],0,0,1,['machine'],0
US2141831A,1938-12-27,Range,['VERB'],[],0,0,1,['range'],0
US2142479A,1939-01-03,Garment,['NOUN'],[],0,0,1,['garment'],0
US2142489A,1939-01-03,Stocking,['VERB'],[],0,0,1,['stocking'],0
US2142892A,1939-01-03,frideni,['ADJ'],[],0,0,1,['frideni'],0
US2143294A,1939-01-10,whiting,['VERB'],[],0,0,1,['whiting'],0
US2143300A,1939-01-10,Clutch,['VERB'],[],0,0,1,['clutch'],0
US2145214A,1939-01-24,Parasiticide,['ADV'],[],0,0,1,['parasiticide'],0
US2145254A,1939-01-31,foothorap,['VERB'],[],0,0,1,['foothorap'],0
US2145525A,1939-01-31,Wheel,['NOUN'],[],0,0,1,['wheel'],0
US2145644A,1939-01-31,brace,['NOUN'],[],0,0,1,['brace'],0
US2146085A,1939-02-07,Cushion,['NOUN'],[],0,0,1,['cushion'],0
US2148500A,1939-02-28,potts,['NOUN'],[],0,0,1,['potts'],0
US2149488A,1939-03-07,ainsworth,['ADJ'],[],0,0,1,['ainsworth'],0
US2149565A,1939-03-07,Damper,['NOUN'],['ORG'],0,0,1,['damper'],0
US2149816A,1939-03-07,Sanding,['VERB'],[],0,0,1,['sanding'],0
US2150192A,1939-03-14,Shredder,['NOUN'],[],0,0,1,['shredder'],0
US2152199A,1939-03-28,machado,['INTJ'],[],0,0,1,['machado'],0
US2152512A,1939-03-28,Chjcb,['NOUN'],[],0,0,1,['chjcb'],0
US2152519A,1939-03-28,Dianthrapyridones,['NOUN'],[],0,0,1,['dianthrapyridones'],0
US2153106A,1939-04-04,Stove,['VERB'],[],0,0,1,['stove'],0
US2153994A,1939-04-11,Dehydrobinaphthylenedhmines,['NOUN'],[],0,0,1,['dehydrobinaphthylenedhmines'],0
US2154048A,1939-04-11,Phonograph,['NOUN'],[],0,0,1,['phonograph'],0
US2154258A,1939-04-11,Refrigeration,['NOUN'],[],0,0,1,['refrigeration'],0
US2154803A,1939-04-18,Fumigator,['NOUN'],[],0,0,1,['fumigator'],0
US2155655A,1939-04-25,Handley,['NOUN'],[],0,0,1,['handley'],0
US2156575A,1939-05-02,stump,['NOUN'],[],0,0,1,['stump'],0
US2156899A,1939-05-02,pierce,['VERB'],[],0,0,1,['pierce'],0
US2158764A,1939-05-16,Stethoscope,['NOUN'],[],0,0,1,['stethoscope'],0
US2159769A,1939-05-23,Lighter,['ADJ'],[],0,0,1,['lighter'],0
US2161201A,1939-06-06,Plasticizer,['NOUN'],[],0,0,1,['plasticizer'],0
US2161997A,1939-06-13,Stovepipe,['NOUN'],[],0,0,1,['stovepipe'],0
US2162170A,1939-06-13,Decoder,['NOUN'],[],0,0,1,['decoder'],0
US2162339A,1939-06-13,Musical,['ADJ'],[],0,0,1,['musical'],0
US2162697A,1939-06-20,Garment,['NOUN'],[],0,0,1,['garment'],0
US2163020A,1939-06-20,ikftti,['VERB'],[],0,0,1,['ikftti'],0
