patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,bad_endings
US1900042A,1933-03-07,brown,['ADJ'],[],0,0,1,['brown'],0
US1900825A,1933-03-07,liberman,['NOUN'],[],0,0,1,['liberman'],0
US1900840A,1933-03-07,moore,['VERB'],[],0,0,1,['moore'],0
US1900950A,1933-03-14,rehor,['NOUN'],[],0,0,1,['rehor'],0
US1901064A,1933-03-14,shipley,['NOUN'],[],0,0,1,['shipley'],0
US1901709A,1933-03-14,erren,['NOUN'],[],0,0,1,['erren'],0
US1902303A,1933-03-21,dougherty,['NOUN'],[],0,0,1,['dougherty'],0
US1902390A,1933-03-21,wormley,['NOUN'],[],0,0,1,['wormley'],0
US1902598A,1933-03-21,turck,['ADV'],[],0,0,1,['turck'],0
US1902755A,1933-03-21,biggs,['NOUN'],[],0,0,1,['biggs'],0
US1902966A,1933-03-28,macchesney,['NOUN'],[],0,0,1,['macchesney'],0
US1903105A,1933-03-28,friden,['VERB'],[],0,0,1,['friden'],0
US1903172A,1933-03-28,eilebtsekt,['NOUN'],[],0,0,1,['eilebtsekt'],0
US1903245A,1933-03-28,ruska,['VERB'],[],0,0,1,['ruska'],0
US1903641A,1933-04-11,Gesellschaft,['NOUN'],[],0,0,1,['gesellschaft'],0
US1903825A,1933-04-18,mallory,['NOUN'],[],0,0,1,['mallory'],0
US1904229A,1933-04-18,Gesellschaft,['NOUN'],[],0,0,1,['gesellschaft'],0
US1904888A,1933-04-18,Island,['NOUN'],[],0,0,1,['island'],0
US1904964A,1933-04-18,Total,['ADJ'],[],0,0,1,['total'],0
US1905096A,1933-04-25,Poration,['NOUN'],[],0,0,1,['poration'],0
US1905822A,1933-04-25,Packing,['NOUN'],[],0,0,1,['packing'],0
US1905846A,1933-04-25,furedi,['VERB'],[],0,0,1,['furedi'],0
US1906763A,1933-05-02,waynes,['VERB'],[],0,0,1,['waynes'],0
US1906772A,1933-05-02,Friction,['NOUN'],[],0,0,1,['friction'],0
US1906805A,1933-05-02,Sellschaft,['NOUN'],['ORG'],0,0,1,['sellschaft'],0
US1907049A,1933-05-02,diggins,['NOUN'],[],0,0,1,['diggins'],0
US1907253A,1933-05-02,debrie,['VERB'],[],0,0,1,['debrie'],0
