patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,is_inventor
US620A,1838-03-03 00:00:00,Cypeien poulla,"['NOUN', 'NOUN']",['PERSON'],0,1,2,"['cypeien', 'poulla']",1
US626A,1838-03-10 00:00:00,Christopher atjmgck,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['christopher', 'atjmgck']",1
US633A,1838-03-10 00:00:00,Cookin grxs,"['NOUN', 'NOUN']",['PERSON'],0,1,2,"['cookin', 'grxs']",1
US643A,1838-03-17 00:00:00,John allen,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['john', 'allen']",1
US664A,1838-04-02 00:00:00,Richard savary,"['PROPN', 'ADJ']",['PERSON'],1,1,2,"['richard', 'savary']",1
US688A,1838-04-13 00:00:00,james,['PROPN'],['PERSON'],1,1,2,['james'],1
US701A,1838-04-21 00:00:00,Seth gkaham,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['seth', 'gkaham']",1
US716A,1838-04-28 00:00:00,Henry barnes,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['henry', 'barnes']",1
US736A,1838-05-10 00:00:00,Thomas addison,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['thomas', 'addison']",1
US756A,1838-05-30 00:00:00,Winjji,['PROPN'],['PERSON'],1,1,1,['winjji'],1
US772A,1838-06-07 00:00:00,peters,['NOUN'],['PERSON'],0,1,1,['peters'],1
US776A,1838-06-12 00:00:00,Frederick g,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['frederick', 'g']",1
US778A,1838-06-12 00:00:00,Thomas wright,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'wright']",1
US782A,1838-06-12 00:00:00,George wode,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['george', 'wode']",1
US784A,1838-06-14 00:00:00,Thomas whitson,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['thomas', 'whitson']",1
US787A,1838-06-19 00:00:00,James mcclory,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['james', 'mcclory']",1
US807A,1838-06-27 00:00:00,Samuel gilson,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['samuel', 'gilson']",1
US810A,1838-06-27 00:00:00,Amokyamsden,['PROPN'],['PERSON'],1,1,1,['amokyamsden'],1
US837A,1838-07-12 00:00:00,samuel carson,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['samuel', 'carson']",1
US843A,1838-07-16 00:00:00,Daniel bunnel,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['daniel', 'bunnel']",1
US847A,1838-07-19 00:00:00,William smith,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['william', 'smith']",1
US895A,1838-08-25 00:00:00,david green,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['david', 'green']",1
US901A,1838-08-30 00:00:00,Robert w,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['robert', 'w']",1
US914A,1838-09-12 00:00:00,Thomas chace,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'chace']",1
US915A,1838-09-12 00:00:00,stewart,['PROPN'],['PERSON'],1,1,1,['stewart'],1
US953A,1838-10-02 00:00:00,Thomas godwin,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['thomas', 'godwin']",1
US957A,1838-10-03 00:00:00,John m,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['john', 'm']",1
US975A,1838-10-10 00:00:00,Linton thokn,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['linton', 'thokn']",1
US1002A,1838-11-09 00:00:00,Joseph evens,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['joseph', 'evens']",1
US1028A,1838-12-10 00:00:00,John humphries,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['john', 'humphries']",1
US1045A,1838-12-28 00:00:00,Stephen ustiok,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['stephen', 'ustiok']",1
US1049A,1838-12-31 00:00:00,Robert mgoarty,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['robert', 'mgoarty']",1
US1058A,1838-12-31 00:00:00,John johnson,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'johnson']",1
US1062A,1839-01-08 00:00:00,Thomas early,"['PROPN', 'ADV']",['PERSON'],1,1,2,"['thomas', 'early']",1
US1063A,1839-01-08 00:00:00,William p,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'p']",1
US1064A,1839-01-08 00:00:00,Barren egleston,"['PROPN', 'NOUN']","['PERSON', 'GPE']",1,1,2,"['barren', 'egleston']",1
US1067A,1839-01-11 00:00:00,peters,['NOUN'],['PERSON'],0,1,1,['peters'],1
US1073A,1839-01-22 00:00:00,John cooper,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['john', 'cooper']",1
US1083A,1839-02-19 00:00:00,peters,['NOUN'],['PERSON'],0,1,1,['peters'],1
US1095A,1839-03-05 00:00:00,Oran w,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['oran', 'w']",1
US1120A,1839-04-10 00:00:00,Anson atwood,"['NOUN', 'NOUN']",['PERSON'],0,1,2,"['anson', 'atwood']",1
US1132A,1839-04-20 00:00:00,John wetherell,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['john', 'wetherell']",1
US1136A,1839-04-26 00:00:00,Daniel williams,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['daniel', 'williams']",1
US1160A,1839-05-30 00:00:00,William herapath,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'herapath']",1
US1183A,1839-06-21 00:00:00,John g,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'g']",1
US1185A,1839-06-21 00:00:00,John hart,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'hart']",1
US1202A,1839-06-27 00:00:00,priestley peters,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['priestley', 'peters']",1
US1208A,1839-06-29 00:00:00,Jonathan burt,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['jonathan', 'burt']",1
US1211A,1839-06-29 00:00:00,george mann,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['george', 'mann']",1
US1212A,1839-06-29 00:00:00,Christopher h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['christopher', 'h']",1
US1286A,1839-08-13 00:00:00,Richard else,"['PROPN', 'ADV']",['PERSON'],1,1,2,"['richard', 'else']",1
US1291A,1839-08-16 00:00:00,John hague,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'hague']",1
US1312A,1839-09-03 00:00:00,Robert smith,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['robert', 'smith']",1
US1318A,1839-09-10 00:00:00,Frederick s,"['PROPN', 'PART']",['PERSON'],1,1,2,"['frederick', 's']",1
US1323A,1839-09-14 00:00:00,William stillman,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'stillman']",1
US1353A,1839-09-30 00:00:00,Isaac n,"['PROPN', 'ADV']",['PERSON'],1,1,2,"['isaac', 'n']",1
US1365A,1839-10-12 00:00:00,John loudon,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['john', 'loudon']",1
US1383A,1839-10-26 00:00:00,Thomas haebison,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['thomas', 'haebison']",1
US1385A,1839-10-31 00:00:00,Samuel h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['samuel', 'h']",1
US1393A,1839-10-31 00:00:00,Alexander ewingt,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['alexander', 'ewingt']",1
US1397A,1839-11-07 00:00:00,Stephen h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['stephen', 'h']",1
US1398A,1839-11-07 00:00:00,Stephen h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['stephen', 'h']",1
US1402A,1839-11-09 00:00:00,John sholl,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['john', 'sholl']",1
US1412A,1839-11-16 00:00:00,John h,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['john', 'h']",1
US1435A,1839-12-18 00:00:00,George smith,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['george', 'smith']",1
US1452A,1839-12-31 00:00:00,George s,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['george', 's']",1
US1495A,1840-02-21 00:00:00,Samuel davis,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['samuel', 'davis']",1
US1518A,1840-03-19 00:00:00,Joseph t,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['joseph', 't']",1
US1521A,1840-03-25 00:00:00,Peters,['PROPN'],['PERSON'],1,1,1,['peters'],1
US1522A,1840-03-25 00:00:00,lawton,['X'],['PERSON'],0,1,1,['lawton'],1
US1524A,1840-03-25 00:00:00,John s,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['john', 's']",1
US1528A,1840-03-31 00:00:00,William church,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['william', 'church']",1
US1537A,1840-03-31 00:00:00,Miles c,"['NOUN', 'AUX']",['PERSON'],0,1,2,"['miles', 'c']",1
US1555A,1840-04-15 00:00:00,Engel,['PROPN'],['PERSON'],1,1,1,['engel'],1
US1559A,1840-04-24 00:00:00,williams,['PROPN'],['PERSON'],1,1,1,['williams'],1
US1566A,1840-04-24 00:00:00,peters,['NOUN'],['PERSON'],0,1,1,['peters'],1
