patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens
US564A,1838-01-09 00:00:00,Samuel rust,"['PROPN', 'NOUN']",[],1,0,2,"['samuel', 'rust']"
US565A,1838-01-09 00:00:00,Mode of,"['PROPN', 'ADP']",[],1,0,2,"['mode', 'of']"
US570A,1838-01-09 00:00:00,Jehu brainerd,"['PROPN', 'NOUN']",[],1,0,2,"['jehu', 'brainerd']"
US575A,1838-01-20 00:00:00,Benjamin iapham,"['PROPN', 'PROPN']",[],1,0,2,"['benjamin', 'iapham']"
US611A,1838-02-15 00:00:00,dunham,['PROPN'],[],1,0,1,['dunham']
US624A,1838-03-03 00:00:00,Apparatus foe,"['PROPN', 'VERB']",[],1,0,2,"['apparatus', 'foe']"
US632A,1838-03-17 00:00:00,David beuce,"['PROPN', 'VERB']",[],1,0,2,"['david', 'beuce']"
US639A,1838-03-17 00:00:00,of boston,"['ADP', 'PROPN']",['GPE'],1,0,2,"['of', 'boston']"
US640A,1838-03-17 00:00:00,Samuel truscott,"['PROPN', 'VERB']",[],1,0,2,"['samuel', 'truscott']"
US652A,1838-03-23 00:00:00,Jambs sawyer,"['PROPN', 'VERB']",[],1,0,2,"['jambs', 'sawyer']"
US657A,1838-03-28 00:00:00,Mode of,"['PROPN', 'ADP']",[],1,0,2,"['mode', 'of']"
US662A,1838-03-28 00:00:00,hydrostatic press,"['PROPN', 'NOUN']",[],1,0,2,"['hydrostatic', 'press']"
US675A,1838-04-05 00:00:00,Benjamin j,"['PROPN', 'PROPN']",[],1,0,2,"['benjamin', 'j']"
US689A,1838-04-13 00:00:00,Julius austin,"['PROPN', 'NOUN']",[],1,0,2,"['julius', 'austin']"
US690A,1838-04-13 00:00:00,jacob noixnkn,"['PROPN', 'VERB']",[],1,0,2,"['jacob', 'noixnkn']"
US697A,1838-04-14 00:00:00,Mode of,"['PROPN', 'ADP']",[],1,0,2,"['mode', 'of']"
